"Hour","Artist","Plays"
"23","DJ Khaled",16
"23","Kodak Black",16
"00","Brent Faiyaz",15
"00","Chance the Rapper",15
"00","DJ Khaled",15
"00","Eagles",15
"00","Electric Light Orchestra",15
"00","Ellie Goulding",15
"00","Pitbull",15
"01","21 Savage",15
"01","Polo G",15
"01","fun.",15
"02","21 Savage",15
"02","Miguel",15
"02","Pitbull",15
"02","TOTO",15
"02","mike.",15
"03","A Boogie Wit da Hoodie",15
"03","Khalid",15
"03","Mustard",15
"03","Young Thug",15
"04","Aretha Franklin",15
"04","Justin Bieber",15
"04","Migos",15
"04","Tory Lanez",15
"05","DJ Khaled",15
"05","Metro Boomin",15
"05","Mura Masa",15
"05","Mustard",15
"06","Eagles",15
"06","Ellie Goulding",15
"06","Mustard",15
"06","Red Hot Chili Peppers",15
"06","The Rolling Stones",15
"07","PARTYNEXTDOOR",15
"13","Cage The Elephant",15
"15","Calvin Harris",15
"15","Young Thug",15
"16","Eminem",15
"16","Queen",15
"16","Tory Lanez",15
"17","Lil Uzi Vert",15
"17","Playboi Carti",15
"17","XXXTENTACION",15
"18","OneRepublic",15
"18","Rex Orange County",15
"18","mike.",15
"19","Brent Faiyaz",15
"19","Fetty Wap",15
"19","Lil Uzi Vert",15
"19","SOB X RBE",15
"20","Ellie Goulding",15
"20","Led Zeppelin",15
"21","Justin Timberlake",15
"21","Lorde",15
"21","PARTYNEXTDOOR",15
"21","Polo G",15
"21","SOB X RBE",15
"22","Lynyrd Skynyrd",15
"22","Mura Masa",15
"22","XXXTENTACION",15
"23","6ix9ine",15
"23","Daft Punk",15
"23","Lynyrd Skynyrd",15
"23","Mike Posner",15
"23","Polo G",15
"00","Jimi Hendrix",14
"00","Migos",14
"00","Pacific Air",14
"00","TOTO",14
"01","Alina Baraz",14
"01","Boston",14
"01","Elton John",14
"01","Migos",14
"01","Roddy Ricch",14
"01","SZA",14
"02","Aretha Franklin",14
"02","Mustard",14
"02","Playboi Carti",14
"02","Polo G",14
"02","Roddy Ricch",14
"03","Aretha Franklin",14
"03","Fleetwood Mac",14
"04","Bruno Mars",14
"04","Ellie Goulding",14
"04","Green Day",14
"05","Green Day",14
"05","Osibih",14
"05","Red Hot Chili Peppers",14
"05","Veorra",14
"05","iann dior",14
"06","Hippo Campus",14
"06","Justin Bieber",14
"06","SOB X RBE",14
"06","XXXTENTACION",14
"06","fun.",14
"07","Led Zeppelin",14
"07","Young Thug",14
"08","Miguel",14
"12","The Beatles",14
"14","Jack Harlow",14
"14","Tory Lanez",14
"15","Khalid",14
"16","Hippo Campus",14
"16","Justin Timberlake",14
"16","Mustard",14
"16","Young Thug",14
"17","Eminem",14
"18","DJ Khaled",14
"18","David Bowie",14
"18","Eagles",14
"18","GoldLink",14
"18","Juice WRLD",14
"19","Led Zeppelin",14
"19","TOTO",14
"20","21 Savage",14
"20","Chris Brown",14
"20","Eagles",14
"20","Fleetwood Mac",14
"20","Lil Baby",14
"20","Mac Miller",14
"20","Mustard",14
"20","Trippie Redd",14
"20","YG",14
"21","ABBA",14
"21","Billie Eilish",14
"21","Gunna",14
"21","Pop Smoke",14
"22","6ix9ine",14
"22","Avicii",14
"22","Billy Joel",14
"22","Eagles",14
"22","Green Day",14
"22","Mac Miller",14
"22","Pop Smoke",14
"22","Shankar-Ehsaan-Loy",14
"22","The Jackson 5",14
"22","Zacari",14
"23","21 Savage",14
"23","Ellie Goulding",14
"23","Elton John",14
"23","Jason Derulo",14
"23","Lil Tecca",14
"23","Meek Mill",14
"23","SOB X RBE",14
"23","SZA",14
"23","XXXTENTACION",14
"00","Green Day",13
"00","Rex Orange County",13
"00","Thundercat",13
"01","2 Chainz",13
"01","24kGoldn",13
"01","Ariana Grande",13
"01","G-Eazy",13
"01","Joey Bada$$",13
"01","KIDS SEE GHOSTS",13
"01","Led Zeppelin",13
"01","The Rolling Stones",13
"02","Billy Joel",13
"02","Lil Baby",13
"02","Lil Tecca",13
"03","Elton John",13
"03","Meek Mill",13
"03","mike.",13
"04","Billie Eilish",13
"04","Camila Cabello",13
"04","DJ Khaled",13
"04","Mac Miller",13
"04","The Rolling Stones",13
"04","Vance Joy",13
"05","Ariana Grande",13
"05","Beach House",13
"05","Jay Rock",13
"05","Lil Nas X",13
"05","SZA",13
"05","Usher",13
"06","Alina Baraz",13
"06","Avicii",13
"06","Bryce Vine",13
"06","CHASE B",13
"06","George Harrison",13
"06","Macklemore & Ryan Lewis",13
"07","Boston",13
"07","Eagles",13
"07","Lil Tecca",13
"07","Mac Miller",13
"07","SOB X RBE",13
"07","Vance Joy",13
"08","Tory Lanez",13
"09","Queen",13
"11","Kanye West",13
"11","Kendrick Lamar",13
"13","Kendrick Lamar",13
"13","The Weeknd",13
"17","Migos",13
"17","NAV",13
"17","OneRepublic",13
"17","fun.",13
"18","Bruno Mars",13
"19","Bruno Mars",13
"19","Khalid",13
"19","Meek Mill",13
"19","Mustard",13
"19","mike.",13
"20","6ix9ine",13
"20","Billy Joel",13
"20","DJ Khaled",13
"20","Meek Mill",13
"20","SOB X RBE",13
"20","XXXTENTACION",13
"21","David Bowie",13
"21","Jorja Smith",13
"21","ScHoolboy Q",13
"22","Alina Baraz",13
"22","Ariana Grande",13
"22","Billie Eilish",13
"22","Chris Brown",13
"22","Led Zeppelin",13
"23","A Boogie Wit da Hoodie",13
"23","A$AP Rocky",13
"23","Chance the Rapper",13
"23","Eagles",13
"23","Green Day",13
"23","Justin Bieber",13
"23","Ludacris",13
"23","Mura Masa",13
"23","TOTO",13
"23","The Who",13
"23","fun.",13
"23","mike.",13
"00","2 Chainz",12
"00","CHASE B",12
"00","DaBaby",12
"00","Foster The People",12
"00","JAY-Z",12
"00","Lil Mosey",12
"00","The Police",12
"00","Tom Petty and the Heartbreakers",12
"00","XXXTENTACION",12
"01","David Guetta",12
"01","Fleetwood Mac",12
"01","Foster The People",12
"01","Jason Derulo",12
"01","Pacific Air",12
"02","Alina Baraz",12
"02","Billie Eilish",12
"02","Elton John",12
"02","JAY-Z",12
"02","Joey Bada$$",12
"02","Lil Nas X",12
"03","Avicii",12
"03","Mura Masa",12
"04","6ix9ine",12
"04","Billy Joel",12
"04","Eagles",12
"04","Huncho Jack",12
"04","Lil Tecca",12
"04","SOB X RBE",12
"05","DaBaby",12
"05","Huncho Jack",12
"05","ILOVEMAKONNEN",12
"05","Internet Money",12
"05","Justin Bieber",12
"05","KIDS SEE GHOSTS",12
"05","KYLE",12
"05","Shakira",12
"05","The Wanted",12
"06","David Guetta",12
"06","Dreamville",12
"06","G-Eazy",12
"07","Chris Brown",12
"07","JAY-Z",12
"07","The Rolling Stones",12
"08","Pacific Air",12
"08","Young Thug",12
"14","Cage The Elephant",12
"14","Don Toliver",12
"14","J. Cole",12
"15","Brent Faiyaz",12
"15","Miguel",12
"15","blackbear",12
"16","Calvin Harris",12
"16","Khalid",12
"16","NAV",12
"16","blackbear",12
"17","Green Day",12
"17","Mura Masa",12
"18","Chris Brown",12
"18","Marshmello",12
"18","Migos",12
"18","Young Thug",12
"19","Elton John",12
"19","Foster The People",12
"19","Justin Timberlake",12
"19","Mura Masa",12
"19","Polo G",12
"19","Rihanna",12
"19","Vance Joy",12
"20","Elton John",12
"20","Lynyrd Skynyrd",12
"21","Ariana Grande",12
"21","Eagles",12
"21","Elton John",12
