"MonthYear","Artist","Plays"
"2016-01","Nas",49
"2017-02","Frank Ocean",49
"2017-03","Bryson Tiller",49
"2017-05","Logic",49
"2017-07","BROCKHAMPTON",49
"2017-08","JID",49
"2018-01","Joey Bada$$",49
"2018-06","Drake",49
"2018-08","Bryson Tiller",49
"2018-09","Bryson Tiller",49
"2018-12","Travis Scott, Quavo, HUNCHO JACK",49
"2019-01","BROCKHAMPTON",49
"2019-08","Travis Scott",49
"2020-05","Kendrick Lamar",49
"2021-09","ScHoolboy Q",49
"2022-05","Aries",49
"2022-05","Tom The Mail Man",49
"2022-09","Lil Uzi Vert",49
"2016-04","Nas",48
"2016-08","ScHoolboy Q",48
"2016-10","Pusha T",48
"2017-03","NAV",48
"2017-05","Joyner Lucas",48
"2017-05","Khalid",48
"2018-03","Chuck Strangers",48
"2018-06","Bryson Tiller",48
"2019-02","Kendrick Lamar",48
"2019-03","Logic",48
"2019-09","Drake",48
"2019-11","Earl Sweatshirt",48
"2020-11","Ramzoid",48
"2021-12","Juice WRLD",48
"2022-05","Lil Uzi Vert",48
"2016-03","ScHoolboy Q",47
"2016-04","Childish Gambino",47
"2016-06","Danny Brown",47
"2017-01","Kendrick Lamar",47
"2017-06","Joey Bada$$",47
"2019-03","Future",47
"2019-07","Chance the Rapper",47
"2019-10","Danny Brown",47
"2019-10","Mick Jenkins",47
"2020-06","whiterosemoxie",47
"2020-09","Tory Lanez",47
"2021-08","Jack Harlow",47
"2021-12","Tyler, The Creator",47
"2016-07","J. Cole",46
"2016-12","Mick Jenkins",46
"2017-06","Young Thug",46
"2017-07","21 Savage",46
"2017-07","Frank Ocean",46
"2017-08","A$AP Ferg",46
"2017-08","Kid Cudi",46
"2017-10","Bryson Tiller",46
"2018-01","Dr. Dre",46
"2018-05","Lil Skies",46
"2018-05","Logic",46
"2018-10","Logic",46
"2019-01","Tory Lanez",46
"2019-01","WESTSIDE BOOGIE",46
"2019-04","Khalid",46
"2019-05","Jazz Cartier",46
"2019-10","Kanye West",46
"2020-01","MAVI",46
"2021-03","Statik Selektah, Kota the Friend",46
"2021-05","ScHoolboy Q",46
"2021-06","Kendrick Lamar",46
"2021-06","PARTYNEXTDOOR",46
"2021-12","Drake",46
"2022-01","Drake",46
"2022-03","Drake",46
"2022-05","Mick Jenkins",46
"2022-07","Earl Sweatshirt",46
"2016-04","Eminem",45
"2016-06","Logic",45
"2016-12","A$AP Mob",45
"2016-12","Chance the Rapper",45
"2017-08","Amine",45
"2017-09","Joey Bada$$",45
"2017-10","Young Thug",45
"2018-02","Mick Jenkins",45
"2018-07","Travis Scott",45
"2018-10","Sheck Wes",45
"2018-12","Juice WRLD, Future",45
"2021-01","Mick Jenkins",45
"2021-02","slowthai",45
"2021-08","Lil Uzi Vert",45
"2021-09","Ty Dolla $ign",45
"2021-10","Mac Miller",45
"2022-01","Frank Ocean",45
"2022-01","Kendrick Lamar",45
"2022-07","Jack Harlow",45
"2022-07","Kendrick Lamar",45
"2022-08","Jonah Zed",45
"2016-01","J. Cole",44
"2016-06","Earl Sweatshirt",44
"2016-10","Kendrick Lamar",44
"2016-12","Jretro",44
"2017-03","Mick Jenkins",44
"2017-06","Anderson .Paak",44
"2017-06","DJ Khaled",44
"2018-04","Logic",44
"2018-08","Frank Ocean",44
"2019-01","J. Cole",44
"2019-02","Vince Staples",44
"2019-04","Travis Scott",44
"2019-11","Kanye West",44
"2020-10","Lil Uzi Vert",44
"2021-01","Playboi Carti",44
"2021-04","Hippo Campus",44
"2021-07","Joey Bada$$",44
"2021-08","Joey Bada$$",44
"2021-08","PARTYNEXTDOOR",44
"2022-01","Roddy Ricch",44
"2022-04","Vince Staples",44
"2022-08","Tom The Mail Man",44
"2022-10","Lil Baby",44
"2016-02","J. Cole",43
"2016-02","Kid Cudi",43
"2016-07","Bryson Tiller",43
"2017-01","Anderson .Paak",43
"2017-02","Kendrick Lamar",43
"2017-04","A Tribe Called Quest",43
"2017-10","Isaiah Rashad",43
"2018-07","Juice WRLD",43
"2020-02","Isaiah Rashad",43
"2020-03","Kanye West",43
"2020-06","Juice WRLD",43
"2021-01","Aries",43
"2021-08","Verzache",43
"2022-07","The Weeknd",43
"2022-08","Brent Faiyaz",43
"2022-10","Mick Jenkins",43
"2022-11","Drake, 21 Savage",43
"2022-12","Mere Raj",43
"2016-11","Rick Ross, Kanye West",42
"2017-02","Mick Jenkins",42
"2017-04","Young Thug",42
"2017-10","A$AP Mob",42
"2017-10","BROCKHAMPTON",42
"2017-11","Future",42
"2017-12","Ski Mask the Slump God",42
"2018-02","Kanye West",42
"2018-02","Travis Scott",42
"2018-03","Joey Bada$$",42
"2018-03","Rich The Kid",42
"2018-06","Jaden",42
"2018-06","Lil Skies",42
"2018-08","H.E.R.",42
"2018-09","Denzel Curry",42
"2018-10","Lil Uzi Vert",42
"2018-10","tobi lou",42
"2019-03","Bryson Tiller",42
"2019-03","Mike WiLL Made-It",42
"2019-08","Joey Bada$$",42
"2019-08","Kendrick Lamar",42
"2019-09","Mac Miller",42
"2020-09","Jack Harlow",42
"2020-11","Mick Jenkins",42
"2020-12","Ramzoid",42
"2021-04","Kill Jasper",42
"2021-06","Mac Miller",42
"2022-03","Kanye West",42
"2022-04","Aries",42
"2022-08","Lil Uzi Vert",42
"2016-10","Big Sean",41
"2017-06","Dr. Dre",41
"2017-07","Nyck @ Knight",41
"2017-12","Metro Boomin, Big Sean",41
"2018-03","Drake",41
"2018-09","Isaiah Rashad",41
"2018-10","Isaiah Rashad",41
"2018-10","Juice WRLD, Future",41
"2018-12","Ski Mask the Slump God",41
"2019-01","Earl Sweatshirt",41
"2019-03","Aries",41
"2019-05","ScHoolboy Q",41
"2019-10","Future",41
"2019-10","Isaiah Rashad",41
"2019-10","Travis Scott",41
"2020-10","Amine",41
"2021-07","Aries",41
"2021-07","Roddy Ricch",41
"2021-09","Verzache",41
"2021-11","Mac Miller",41
"2022-01","Kota the Friend",41
"2022-09","Verzache",41
"2016-11","Joey Bada$$",40
"2017-04","Bryson Tiller",40
"2017-04","Playboi Carti",40
"2017-06","A$AP Rocky",40
"2017-06","Isaiah Rashad",40
"2017-12","Anderson .Paak",40
"2018-04","A$AP Rocky",40
"2018-08","Juice WRLD",40
"2018-10","Kid Cudi",40
"2018-12","Kirk Knight",40
"2019-11","Juice WRLD",40
"2020-04","Drake",40
"2020-09","Lil Baby",40
"2021-08","Jonah Zed",40
"2021-09","Mick Jenkins",40
"2021-10","Frank Ocean",40
"2021-11","Kanye West",40
"2021-12","Radiohead",40
"2022-03","Jaden",40
"2022-03","tsubi club",40
"2022-07","Greta Van Fleet",40
"2022-07","whiterosemoxie",40
"2022-09","Jack Harlow",40
"2016-09","ScHoolboy Q",39
"2017-07","A$AP Rocky",39
"2017-08","MadeinTYO",39
"2017-10","Lil Uzi Vert",39
"2017-12","Jaden",39
"2018-06","Travis Scott",39
"2018-07","Southside, G Herbo",39
"2018-09","Jaden",39
"2019-11","Lil Skies",39
"2020-11","Jazz Cartier",39
"2021-04","Guapdad 4000, !llmind",39
"2021-05","Aries",39
"2022-01","Earl Sweatshirt",39
"2022-06","Joey Bada$$",39
"2022-07","Mick Jenkins",39
"2016-06","Joey Bada$$",38
"2017-02","Travis Scott",38
"2017-04","Isaiah Rashad",38
"2017-04","Kanye West",38
"2017-04","Vince Staples",38
"2017-05","Playboi Carti",38
"2017-09","PnB Rock",38
"2018-02","Miguel",38
"2018-08","Lil Uzi Vert",38
"2018-10","MihTy",38
"2018-11","Kirk Knight",38
"2019-02","WESTSIDE BOOGIE",38
"2019-03","A Boogie wit da Hoodie",38
"2019-03","Joey Purp",38
"2019-08","Beast Coast",38
"2019-12","Bryson Tiller",38
"2020-01","NxWorries, Knxwledge, Anderson .Paak",38
"2020-04","Future",38
