"Season","Artist","Plays"
"Summer","Eminem",10
"Summer","Frank Pierce",10
"Summer","Hailee Steinfeld",10
"Summer","Hozier",10
"Summer","Into A Dream",10
"Summer","Isaiah Rashad",10
"Summer","Jeremy Ng",10
"Summer","Jess Benko",10
"Summer","Johnny Stimson",10
"Summer","KHEA",10
"Summer","Keira Conlon",10
"Summer","Khaled",10
"Summer","Koby Laver",10
"Summer","Lana Del Rey",10
"Summer","Leah Maur",10
"Summer","Lindsey Stirling",10
"Summer","Mike Posner",10
"Summer","Milky Chance",10
"Summer","NREM",10
"Summer","Nicholas Sipka",10
"Summer","Nico Segal",10
"Summer","Omotesando",10
"Summer","Passion Pit",10
"Summer","Peach Tree Rascals",10
"Summer","RKCB",10
"Summer","SEBASTIAN PAUL",10
"Summer","Stromae",10
"Summer","TAL",10
"Summer","The Aural Healer",10
"Summer","Tine Mydland",10
"Summer","Vancouver Sleep Clinic",10
"Summer","X Ambassadors",10
"Summer","beabadoobee",10
"Summer","tobi lou",10
"Summer","xerLK",10
"Winter","Abeer Arora",10
"Winter","Alessia Cara",10
"Winter","Alex Goot",10
"Winter","Ariana Grande",10
"Winter","Artemio Li Fonti",10
"Winter","Ashe",10
"Winter","Backstreet Boys",10
"Winter","Barnes Blvd.",10
"Winter","Bela Nemeth",10
"Winter","Biqram",10
"Winter","Bishop Briggs",10
"Winter","Black Atlass",10
"Winter","Bon Iver",10
"Winter","Charlie Puth",10
"Winter","DJ Khaled",10
"Winter","Gavin James",10
"Winter","Gavin Mikhail",10
"Winter","Grant",10
"Winter","Hearts & Colors",10
"Winter","Irena Sladic",10
"Winter","JAY-Z",10
"Winter","Jacquees",10
"Winter","Joey Montana",10
"Winter","Joshua Hyslop",10
"Winter","Jozef Gatysik",10
"Winter","Jul",10
"Winter","KRISTAL",10
"Winter","King Princess",10
"Winter","Koba LaD",10
"Winter","Koby Laver",10
"Winter","Leah Maur",10
"Winter","Mark Diamond",10
"Winter","Mike Bahia",10
"Winter","Nelly Furtado",10
"Winter","Nujabes",10
"Winter","Octave Riviere",10
"Winter","Owl City",10
"Winter","Party Favor",10
"Winter","Ray Dalton",10
"Winter","Regina Mira",10
"Winter","Robinson",10
"Winter","Skrillex",10
"Winter","Smeyeul.",10
"Winter","Steven Goldmund",10
"Winter","The Avener",10
"Winter","Trippie Redd",10
"Winter","Wet",10
"Winter","Yazko",10
"Winter","Years & Years",10
"Winter","chief.",10
"Fall","070 Shake",9
"Fall","AURORA",9
"Fall","Abeer Arora",9
"Fall","Ave Air",9
"Fall","Backstreet Boys",9
"Fall","Black Eyed Peas",9
"Fall","Bobby McFerrin",9
"Fall","Brian Eno",9
"Fall","Callisto Mazzi",9
"Fall","Chieloka",9
"Fall","Clinton Kane",9
"Fall","Conor Matthews",9
"Fall","Danny Chellam",9
"Fall","Dijon",9
"Fall","Eklipse",9
"Fall","Fancy Cars",9
"Fall","Henry Smith",9
"Fall","Into A Dream",9
"Fall","Joe Jonas",9
"Fall","Jorja Smith",9
"Fall","Kaivon",9
"Fall","Katy Perry",9
"Fall","Kiana Lede",9
"Fall","LEON",9
"Fall","Lijo George",9
"Fall","Lil Baby",9
"Fall","Lou D'Audrey",9
"Fall","LoudTunez",9
"Fall","MKTO",9
"Fall","Maleek Berry",9
"Fall","Michl",9
"Fall","Mike Perry",9
"Fall","Miley Cyrus",9
"Fall","Mome",9
"Fall","Neon Trees",9
"Fall","Niall Horan",9
"Fall","Novo Talos",9
"Fall","Octave Riviere",9
"Fall","Phillip LaRue",9
"Fall","Phillipp Vogler",9
"Fall","Porter Robinson",9
"Fall","RY X",9
"Fall","Robyn Sherwell",9
"Fall","Szigeti Aliz",9
"Fall","Tems",9
"Fall","The Deli",9
"Fall","Troye Sivan",9
"Fall","WATTS",9
"Fall","Years & Years",9
"Fall","Yonder Dale",9
"Fall","cloudcrush",9
"Fall","marcos g",9
"Spring","A$AP Rocky",9
"Spring","Adele",9
"Spring","Alaskan Tapes",9
"Spring","Amine",9
"Spring","Amir Obe",9
"Spring","Anirudh Ravichander",9
"Spring","Anne-Marie",9
"Spring","Antoine Minot",9
"Spring","Ari Lennox",9
"Spring","Arush Mandal",9
"Spring","Bea Miller",9
"Spring","Benjamin Martins",9
"Spring","Berlioz",9
"Spring","Beyond The Bubble",9
"Spring","Bon Iver",9
"Spring","Brian Eno",9
"Spring","Carlos Vives",9
"Spring","Dappy",9
"Spring","Delle Alpi",9
"Spring","Diplo",9
"Spring","Disclosure",9
"Spring","Dream Runner",9
"Spring","Early Hours",9
"Spring","Ebb & Flod",9
"Spring","Echosmith",9
"Spring","Elsa Greeve",9
"Spring","Enlightment Spirits",9
"Spring","Frank Pierce",9
