"ID","Season","Song","Plays"
"4KnnWpUyPfQD6X5SQSTlH3","Summer","Daniel Schulz ~ Turn Back Time",26
"3dT28suh6dzuW7qF79Nf4F","Summer","Jeremy Zucker ~ oh, mexico",26
"0wcHV7AT77zzyH4ftt11vh","Winter","SYML ~ Girl",26
"4VuD8WNAOnyaQ3OIxTi72J","Winter","Mitch James ~ Move On",26
"4pmsYmLA5xefLsXeaJqCbU","Winter","Cali Y El Dandee ~ Nada - Remix",26
"7F7kL3i6SDEIbDcoJZGiig","Winter","Daddy Yankee ~ Sigueme Y Te Sigo",26
"5HsSsEeP3hU9QSfHZrzbtA","Fall","Finding Hope ~ 3:00 AM",25
"4SlCYFaUQ8GRuwdpgniaGF","Fall","KSHMR ~ Bombay Dreams (feat. Kavita Seth)",25
"3umS4y3uQDkqekNjVpiRUs","Fall","Nicky Jam ~ El Amante",25
"468z8HtyEOGV9RY9tl3ax0","Fall","John Adams ~ For Me, For Her, For You",25
"0GzuHFG4Ql6DoyxFRnIk3F","Fall","Maluma ~ Hawai - Remix",25
"4RvDhh5WqBLyPNUo5LztfE","Fall","Ludovico Einaudi ~ In Un'Altra Vita",25
"2hFD70XI1S5HeGxasMvgbY","Fall","Jai Wolf ~ Indian Summer - Kasbo Remix",25
"4bD9z9qa4qg9BhryvYWB7c","Fall","Pritam ~ Kabira",25
"6W83GER4shtT9lpkYzEYeq","Fall","JONES ~ Melt (Acoustic Version)",25
"52iLDrSoRtf9lcgFuLVfqE","Fall","Sasha Alex Sloan ~ Older",25
"5dyihZecYMcEPq09Bk2OL2","Fall","Anson Seabra ~ Robin Hood",25
"4Dnss7a0Fobyvw2aWBnDzm","Fall","Jai Wolf ~ Starlight",25
"3dT28suh6dzuW7qF79Nf4F","Fall","Jeremy Zucker ~ oh, mexico",25
"0E0xI4AgMNU7UkwBt3FCVN","Spring","The Piano Guys ~ A Thousand Years",25
"05GvwwTLLID738BbKN1ze0","Spring","Tinlicker ~ Because You Move Me",25
"4PMLEEYw4mblYsPlDSHKyu","Spring","bulow ~ Get Stupid",25
"1OdYu7mDO94ydUvfZPaPvP","Spring","Shoffy ~ I Can't Help (with Sarcastic Sounds)",25
"2XyNLoEWc4IDt9OVzXZUXl","Spring","ODESZA ~ It's Only (feat. Zyra) - ODESZA VIP Remix",25
"1wpyVNJcutD5uYyjDreWaW","Spring","The Piano Guys ~ Let It Go",25
"2EuqgpA1cTC95AQUgCcZHk","Spring","Agnes Obel ~ September Song",25
"4PJ3umtW1aWdfh5EITHc6T","Spring","Nicky Jam ~ Te Robare",25
"5pLpkaIRobcvPnUmclNv6o","Spring","Oh Wonder ~ Technicolour Beat",25
"75ls0gurX68lUmMjE7QcsE","Spring","Jeremy Zucker ~ all the kids are depressed",25
"41zXlQxzTi6cGAjpOXyLYH","Spring","Billie Eilish ~ idontwannabeyouanymore",25
"6PJ8FF6UR8FZXfEvpHkIVN","Summer","Ed Sheeran ~ How Would You Feel (Paean)",25
"0Tel1fmuCxEFV6wBLXsEdk","Summer","Ed Sheeran ~ Kiss Me",25
"2WWfjbHALIb3e7FMcj9mr4","Summer","ODESZA ~ Line Of Sight (feat. WYNNE & Mansionair)",25
"4OBZT9EnhYIV17t4pGw7ig","Winter","Daniel Caesar ~ Best Part (feat. H.E.R.)",25
"6vo7Y1iWyZvpjvFbf6BiZ5","Winter","Pritam ~ Kalank (Title Track)",25
"2JqnpexlO9dmvjUMCaLCLJ","Winter","Lukas Graham ~ Love Someone",25
"6pTDPaMcN5KSYD8hJ1uWId","Winter","Jon Bellion ~ Maybe IDK",25
"34gCuhDGsG4bRPIf9bb02f","Winter","Ed Sheeran ~ Thinking out Loud",25
"7pt64sepCy5QmDrgy9wOJS","Winter","Kamal. ~ blue",25
"4CxFN5zON70B3VOPBYbd6P","Winter","Jeremy Zucker ~ you were good to me",25
