"ID","Season","Song","Plays"
"-7042869616604074933","Spring","Kendrick Lamar ~ HiiiPower",40
"-1853549096124578166","Spring","Kendrick Lamar ~ Hood Politics",40
"1604772537188120964","Spring","Kendrick Lamar ~ Money Trees (feat. Jay Rock)",40
"2471780380917504164","Spring","Patrick Cc:, Jonah Zed ~ Reckless",40
"5279356735005892804","Spring","Travis Scott ~ Watch (feat. Lil Uzi Vert & Kanye West)",40
"7011089245224023593","Spring","Isaiah Rashad ~ Webbie Flow (U Like)",40
"4775537671964508249","Spring","Rich The Kid ~ World Is Yours 2",40
"3263625908152568628","Summer","Lil Baby, Gunna ~ Drip Too Hard",40
"-7906861514426163860","Summer","Travis Scott ~ Oh My Dis Side (feat. Quavo)",40
"-5527187639462801153","Summer","Isaiah Rashad ~ R.I.P. Kevin Miller",40
"-2791825255070253208","Summer","Aries ~ SAYONARA",40
"236566299013495661","Summer","Jack Harlow ~ WARSAW (feat. 2forwOyNE)",40
"4343838726531960766","Winter","PnB Rock ~ Heart Racin'",40
"2902204480198627366","Fall","Kendrick Lamar ~ Hood Politics",39
"5281816281371561081","Spring","Bryson Tiller ~ Exchange",39
"-342256947049122003","Spring","Drake ~ Faithful (feat. Pimp C & dvsn)",39
"-5458332035141441819","Spring","Kendrick Lamar ~ LOVE. (FEAT. ZACARI.)",39
"1462989802087233072","Spring","Bryson Tiller ~ Let Em' Know",39
"-774161100981877549","Spring","Chance the Rapper ~ Mixtape (feat. Young Thug & Lil Yachty)",39
"-3509048271916624797","Spring","Kendrick Lamar ~ Real (feat. Anna Wise)",39
"-1422230379481455767","Summer","Travis Scott ~ A-Team",39
"2902266915602032891","Summer","Kendrick Lamar ~ Ignorance Is Bliss",39
"6936810752966174945","Summer","Joey Bada$$ ~ Love Is Only a Feeling",39
"8091418521738205676","Summer","Joey Bada$$ ~ Piece of Mind",39
"-8770792410041532283","Summer","Isaiah Rashad ~ Ronnie Drake (feat. SZA)",39
"-6606829449721624184","Summer","Kendrick Lamar ~ She Needs Me (Remix) [feat. DOM KENNEDY & Murs]",39
"7948414227281335213","Winter","J. Cole ~ Apparently",39
"3837580948736521841","Winter","Ramzoid ~ Enemy",39
"7011443216029912170","Winter","Verzache ~ Messed Up",39
"4704679554335894148","Winter","SOB X RBE ~ Paramedic!",39
"-1061218053697840717","Winter","Kendrick Lamar ~ untitled 07 l 2014 - 2016",39
"-197046871675094325","Fall","Jack Harlow ~ CAN'T CALL IT",38
"-8338486399656114735","Fall","Bryson Tiller ~ Exchange",38
