"ID","SchoolPeriod","Song","Plays"
"-5889759333521725441","8th Grade","Kendrick Lamar ~ Hol' Up",33
"-413358565430822344","8th Grade","Drake ~ One Dance (feat. Wizkid & Kyla)",33
"1244027829470252576","8th Grade","Anderson .Paak ~ The Waters (feat. BJ the Chicago Kid)",33
"-6826438876793690431","8th-9th Summer","Isaiah Rashad ~ Free Lunch",33
"2615963656345147133","9th Grade","Isaiah Rashad ~ Shot You Down (feat. Jay Rock & ScHoolboy Q)",33
"5782879901893667980","9th Grade","Joyner Lucas ~ That's OK",33
"-1203633964647058623","Sophomore Year","midwxst ~ Star",33
"-5960485153325119703","10th Grade","Daniel Caesar ~ Get You (feat. Kali Uchis)",32
"-5093782944948841641","10th Grade","Travis Scott ~ Pray 4 Love (feat. The Weeknd)",32
"-6466419920948856602","11th Grade","Mick Jenkins ~ Gwendolynn's Apprehension",32
"-3151661919542461855","12th Grade","NxWorries, Knxwledge, Anderson .Paak ~ Get Bigger / Do U Luv",32
"6649725540041747971","12th Grade","Travis Scott ~ HOUSTONFORNICATION",32
"-8340534885724189168","12th Grade","Smino ~ Reverend",32
"8018477749542880080","12th Grade","Jack Harlow ~ SYLVIA (feat. 2forwOyNE)",32
"-3509344131383805358","12th Grade","Lil Baby ~ Sum 2 Prove",32
"-7473765005490862573","12th-Freshman Summer","Jack Harlow ~ OUT FRONT",32
"-8625318098461647379","8th Grade","Bryson Tiller ~ 502 Come Up",32
"5425617876112268116","8th Grade","Kendrick Lamar ~ A.D.H.D.",32
"-3652634780092661987","8th Grade","A$AP Rocky ~ Goldie",32
"-2430353930151953324","8th Grade","G-Eazy, Bebe Rexha ~ Me, Myself & I",32
"-411251439892835118","8th Grade","Kendrick Lamar ~ Sing About Me, I'm Dying of Thirst",32
"9171048921898066586","8th Grade","Drake ~ Weston Road Flows",32
"2688516038257892015","8th Grade","Drake ~ With You (feat. PARTYNEXTDOOR)",32
"-484140066322592241","8th-9th Summer","Joey Bada$$ ~ Devastated",32
"-8842213447681254126","9th Grade","Kanye West ~ Diamonds from Sierra Leone (Bonus Track)",32
"1099612666143709608","9th Grade","A$AP Rocky ~ M'$ (feat. Lil Wayne)",32
"4632193259192741872","9th Grade","Joyner Lucas ~ Mansion",32
"-1420329366618648112","9th Grade","Kendrick Lamar ~ Poe Mans Dreams (His Vice) [feat. GLC]",32
"2326306381017743379","9th Grade","Pusha T, Kanye West ~ Runaway (feat. Pusha T)",32
"-6753918884766736574","Freshman Year","PARTYNEXTDOOR ~ RENDEZVOUS",32
"6575370034159591788","Freshman Year","Bryson Tiller ~ Things Change",32
"8092155068624726099","Sophomore Year","Aries ~ EASY",32
"-6898448175564191852","10th Grade","A$AP Rocky ~ Bad Company (feat. BlocBoy JB)",31
"7442700597833533025","10th Grade","Big K.R.I.T. ~ Big Bank (feat. T.I.)",31
"-8411696687430559056","10th Grade","G Herbo ~ Everything Remix (feat. Lil Uzi Vert & Chance the Rapper)",31
"-7544289378627166230","10th Grade","Smokepurpp ~ Fingers Blue (feat. Travis Scott)",31
"-4158627378437564474","10th Grade","Travis Scott, Quavo, HUNCHO JACK ~ Moon Rock",31
"6359840128746984370","10th Grade","Travis Scott ~ Pornography",31
"5856256520290473655","10th Grade","ScHoolboy Q, Saudi, Kendrick Lamar, 2 Chainz ~ X",31
"-3295448859034938566","11th Grade","Lil Uzi Vert ~ Sanguine Paradise",31
"-6680274719858045893","12th Grade","Jack Harlow ~ CAN'T CALL IT",31
"9100706657547088890","12th Grade","Lil Uzi Vert ~ Futsal Shuffle 2020",31
"7875556102929867912","12th Grade","NxWorries, Knxwledge, Anderson .Paak ~ Lyk Dis",31
"-2645738970145578827","12th Grade","NxWorries, Knxwledge, Anderson .Paak ~ Suede",31
"-6537718441458733541","8th Grade","Drake ~ Controlla",31
"-3294303604669816955","8th Grade","Kendrick Lamar ~ County Building Blues",31
"5495887807270004239","8th Grade","Odd Future ~ Oldie",31
"8667778597128038974","8th Grade","Isaiah Rashad ~ R.I.P. Kevin Miller",31
"4631283001647069940","8th Grade","J. Cole ~ She Knows (feat. Amber Coffman & Cults)",31
"3263651044142527099","8th Grade","Lupe Fiasco ~ Superstar (feat. Matthew Santos)",31
"6000728356115470915","9th Grade","Jazz Cartier ~ . Save Me from Myself",31
"-3076146341914197611","9th Grade","Joey Bada$$ ~ Big Dusty",31
"-3220233705599529073","9th Grade","Kendrick Lamar ~ DNA.",31
"3335446039794963576","9th Grade","Migos ~ Kelly Price (feat. Travis Scott)",31
"6073430421361120802","9th Grade","Pusha T ~ Nosetalgia (feat. Kendrick Lamar)",31
"6361674834924122424","9th Grade","Travis Scott ~ outside",31
