"ID","Month","Song","Plays"
"4JuZQeSRYJfLCqBgBIxxrR","11","Billie Eilish ~ Ocean Eyes - Blackbear Remix",15
"52iLDrSoRtf9lcgFuLVfqE","11","Sasha Alex Sloan ~ Older",15
"64BKKgWdKdmKlQDzRfHW3C","12","Louis The Child ~ Free (with Drew Love)",15
"3l2BUynMco0B4Z6wCmwGm7","12","Lacrim ~ Gericault",15
"1DWZUa5Mzf2BwzpHtgbHPY","12","Mac Miller ~ Good News",15
"3kywzyEr7V106Un5cDyh12","12","Sasha Alex Sloan ~ Older",15
"6SM0JzGgLQU3oiSZg1AYyz","01","Limited Tym ~ GROW",14
"0wcHV7AT77zzyH4ftt11vh","01","SYML ~ Girl",14
"4cRVPfsnX1r3S3GzXRy2wt","01","Lennon Stella ~ Like Everybody Else - Acoustic",14
"0psS4i5YooJrXfDnGvWRLi","01","Billie Eilish ~ Lo Vas A Olvidar (with ROSALIA)",14
"3WRQUvzRvBDr4AxMWhXc5E","01","Petit Biscuit ~ Sunset Lover",14
"5o35aPa2xPLLC3rw7Hoc83","01","Nicky Jam ~ Superheroe (feat. J Balvin)",14
"43zdsphuZLzwA9k4DJhU0I","01","Billie Eilish ~ when the party's over",14
"6Gu1BaGI5ijqEqK3g6gvMi","02","Shoffy ~ Different Skies",14
"6SM0JzGgLQU3oiSZg1AYyz","02","Limited Tym ~ GROW",14
"3MdXljQymY43YwHw1N0lOd","02","Nightcall ~ Let You Go",14
"1Pw5C4N6Fn5E4mGCxmbbVa","02","James Arthur ~ Say You Won't Let Go",14
"0OlnLZY4cmQzT6ZGttvWBM","02","Martin Garrix ~ So Far Away (feat. Jamie Scott & Romy Dya)",14
"0lYTfzScakP4HhxgG3CR7p","02","Robyn Sherwell ~ Tightropes",14
"14JzyD6FlBD5z0wV5P07YI","02","Billie Eilish ~ when the party's over",14
"0E0xI4AgMNU7UkwBt3FCVN","03","The Piano Guys ~ A Thousand Years",14
"0SuLAslEMFZAXf0SwY7syi","03","Jon Bellion ~ All Time Low",14
"2Fn4gZI3MAeWTiv7cSVxZQ","03","Bastille ~ Another Place",14
"1EzrEOXmMH3G43AXT1y7pA","03","Jason Mraz ~ I'm Yours",14
"1dEjVZ2BoFgPeL71KLiseD","03","Stanislav Gallin ~ The Meadow (From """"The Twilight Saga: New Moon"""")",14
"6wCWfx5yAyvQ7TlLp7OZZ6","04","Mike Posner ~ Be As You Are - Acoustic",14
"1fVfbJqf7IqsYZIMfn8ZtX","04","James TW ~ Big Picture",14
"6tIsrRynd3eQB0a2c3SPyM","04","Ashe ~ Choirs",14
"4NU4ZK3ncM05KPUc8JSuQ5","04","Jaden ~ Circa 2015",14
"1LIqNVhaIgxXUt2eVoIQJ3","04","Maluma ~ HP",14
"0HEckRWFSknIupbGzavk5d","04","Khalid ~ Hundred",14
"4H5arInh2BLVz94mIibTrv","04","Takagi & Ketra ~ JAMBO",14
"4oM9DGUTrRaXJDypxxHztZ","04","Bryce Vine ~ La La Land (feat. YG)",14
"6A8dnC0xkiuWN4BshmTB2I","04","A R I Z O N A ~ Oceans Away",14
"75ls0gurX68lUmMjE7QcsE","04","Jeremy Zucker ~ all the kids are depressed",14
"1IQrWMzaUT0mwjP64lfQvR","04","Jeremy Zucker ~ ghosts",14
"4q1WaJZoHTtojqDHX8QvaC","05","VAX ~ Fireproof (feat. Teddy Sky)",14
"5NlV5HVIfgk5eHxvAGGTfy","05","Jeremy Zucker ~ better off",14
"0u2P5u6lvoDfwTYjAADbn4","05","Billie Eilish ~ lovely (with Khalid)",14
"4OBZT9EnhYIV17t4pGw7ig","06","Daniel Caesar ~ Best Part (feat. H.E.R.)",14
"7gHs73wELdeycvS48JfIos","06","Alan Walker ~ Faded",14
"6v0lAdFF4haL8xjBIUjtOw","06","Nicky Jam ~ Te Robare",14
"7svLJ45Nbmhpa1MbVFyZ70","06","almost monday ~ this is growing up",14
"4yQluMXsIRql36ErBHux2f","06","Jeremy Zucker ~ you were good to me - shallou remix",14
"5iwz1NiezX7WWjnCgY5TH4","07","Pedro Capo ~ Calma - Remix",14
"7v7teR4FtyiZzkc1tX2a4V","07","Klangkarussell ~ Hey Maria - Elderbrook Remix",14
"0t488LlnuTDRjklgkotom9","07","Jai Wolf ~ Indian Summer",14
"45sDIKapDyxPl307QpEAwl","07","Far East Movement ~ Rocketeer",14
"0nYSQrRV7Akb8guuycDSqF","07","Alvaro Soler ~ Sofia",14
"55K9XfgvMdBruc7iKsovgv","07","Lostboycrow ~ The Lost Boy (feat. Skizzy Mars)",14
"2Fxmhks0bxGSBdJ92vM42m","07","Billie Eilish ~ bad guy",14
"43zdsphuZLzwA9k4DJhU0I","07","Billie Eilish ~ when the party's over",14
"2RttW7RAu5nOAfq6YFvApB","08","Ed Sheeran ~ Happier",14
"7qiZfU4dY1lWllzX7mPBI3","08","Ed Sheeran ~ Shape of You",14
"07ZQLYn9x4x3L3vxStc1zr","08","Quinn XCII ~ Stacy",14
"0d2iYfpKoM0QCKvcLCkBao","09","benny blanco ~ Eastside (with Halsey & Khalid)",14
"6PJ8FF6UR8FZXfEvpHkIVN","09","Ed Sheeran ~ How Would You Feel (Paean)",14
"6J2LdBN97cDWn0MLxYh9HB","09","Noah Cyrus ~ July",14
