"Year","Artist","Plays"
"2022","Mir Fontane",45
"2018","6ix9ine",44
"2019","Rae Sremmurd",44
"2021","Big Sean",44
"2021","whiterosemoxie, Kato On The Track",44
"2022","Rich The Kid",44
"2018","H.E.R.",43
"2018","Lil Mosey",43
"2019","Ski Mask the Slump God",43
"2021","Rich The Kid",43
"2022","Lil Wayne",43
"2016","twenty one pilots",42
"2019","6ix9ine",42
"2019","Shoreline Mafia",42
"2020","Lil Baby, 42 Dugg",42
"2020","Lil Skies",42
"2021","Dave East",42
"2016","Tyler, The Creator",41
"2019","Lil Baby",41
"2019","Madvillain, Madlib, MF DOOM",41
"2020","Ahmir",41
"2021","Madvillain, Madlib, MF DOOM",41
"2022","Astrel K",41
"2022","Chester Watson",41
"2022","Jasiah, Dro Kenji",41
"2017","Smokepurpp",40
"2018","Quality Control, Migos",40
"2021","A$AP Mob",40
"2021","Arctic Monkeys",40
"2021","Miguel",40
"2021","Mir Fontane",40
"2016","Big K.R.I.T.",39
"2017","Machine Gun Kelly",39
"2018","Desiigner",39
"2019","Gucci Mane",39
"2020","Buddy",39
"2020","Chance the Rapper",39
"2020","SOB X RBE",39
"2022","Jay Rock",39
"2017","Macklemore",38
"2019","KIDS SEE GHOSTS",38
"2021","A Tribe Called Quest",38
"2021","Ariana Grande",38
"2021","David Guetta",38
"2022","Foo Fighters",38
"2016","Syndicate Sound Labs",37
"2017","Macklemore & Ryan Lewis",37
"2017","Nas",37
"2018","2 Chainz",37
"2018","Royce da 5'9",37
"2019","Rich Brian",37
"2020","Lil Baby, Gunna",37
"2021","Brent Faiyaz",37
"2022","BORNS",37
"2022","Lil Yachty",37
"2022","Rich Brian",37
"2022","SOB X RBE",37
"2017","KYLE",36
"2018","DJ Khaled",36
"2018","Madvillain, Madlib, MF DOOM",36
"2018","ScHoolboy Q, Saudi, Kendrick Lamar, 2 Chainz",36
"2019","Swae Lee, Slim Jxmmi, Rae Sremmurd",36
"2019","The Beatles",36
"2020","6LACK",36
"2020","Van Morrison",36
"2020","Young Thug, Future",36
"2022","Lil Uzi Vert, Future",36
"2016","Lil Wayne",35
"2018","Khalid",35
"2018","Symere Woods",35
"2018","Taihaul",35
"2019","Free Nationals",35
"2019","Madlib, Freddie Gibbs",35
"2019","Nas",35
"2020","Jaden",35
"2020","Pusha T",35
"2021","6LACK",35
"2021","Patrick Cc:, Jonah Zed",35
"2021","The Isley Brothers",35
"2022","Guapdad 4000, !llmind",35
"2017","Childish Gambino",34
"2017","Lance Skiiiwalker",34
"2017","Russ",34
"2019","Ramzoid",34
"2019","XXXTENTACION",34
"2021","Nas",34
"2021","Sol.Luna",34
"2021","The 1975",34
"2022","Jet",34
"2016","G-Eazy, Bebe Rexha",33
"2016","Kevin Gates",33
"2016","Young Thug, Travis Scott",33
"2017","Madvillain, Madlib, MF DOOM",33
"2017","The Weeknd",33
"2018","JAY-Z",33
"2018","THE CARTERS",33
"2019","Desiigner",33
"2020","G Herbo",33
"2020","JAY-Z",33
"2021","MF DOOM, CZARFACE",33
"2021","SZA",33
"2021","Young Stoner Life",33
"2022","Eminem",33
"2022","Vince Staples, Mustard",33
"2016","JAY-Z",32
"2016","Kanye West, Chris Martin",32
"2018","BlocBoy JB",32
"2018","SZA",32
"2018","blackbear",32
"2019","SOB X RBE",32
"2021","Knxwledge",32
"2022","Athan",32
"2022","DaBaby",32
"2017","Ab-Soul",31
"2017","Desiigner",31
"2018","Comethazine",31
"2019","6LACK",31
"2019","Joyner Lucas",31
"2021","Calvin Harris",31
"2021","Childish Gambino",31
"2021","Pitbull",31
"2022","Domo Genesis",31
"2022","Dro Kenji, DC The Don",31
"2022","Rauw Alejandro",31
"2022","whiterosemoxie, Tom The Mail Man",31
"2017","Tyga",30
"2019","Chester Watson",30
"2019","Dreamville",30
"2020","Post Malone",30
"2020","SZA",30
"2021","Don Toliver",30
"2021","Flo Rida",30
"2021","Kendrick Lamar, Baby Keem",30
"2021","Usher",30
"2022","Bruno Mars",30
"2022","Khalid",30
"2016","Hermitude",29
"2017","Juicy J",29
"2017","Rich The Kid",29
"2019","Cordae",29
"2019","KAYTRANADA",29
"2019","Smino, Ravyn Lenae",29
"2020","The Chords",29
"2020","Travis Scott, JACKBOYS",29
"2021","Fleetwood Mac",29
"2021","Mike WiLL Made-It",29
"2021","Neon Trees",29
"2021","The Cure",29
"2021","whiterosemoxie, Tom The Mail Man",29
"2022","Baby Smoove",29
"2022","Beast Coast",29
"2022","Danny Brown",29
"2022","Pop Smoke",29
"2016","Rob $tone",28
"2017","OutKast",28
"2017","Tory Lanez",28
"2018","Carnage",28
"2018","Travis Scott, Kendrick Lamar",28
"2019","EST Gee",28
"2019","JID, Dreamville, Bas",28
"2021","Baby Smoove",28
"2021","EST Gee",28
"2021","Eminem",28
"2021","Khalid",28
"2021","Marco Luka",28
"2021","Tee Grizzley",28
"2022","2 Chainz",28
"2022","Joyner Lucas",28
"2016","BJ the Chicago Kid",27
"2016","Jeremih",27
"2016","Kanye West, DJ Premier",27
"2016","The Notorious B.I.G.",27
"2020","Denzel Curry",27
"2020","Flatbush Zombies",27
"2020","J.I the Prince of N.Y",27
"2020","Mike WiLL Made-It",27
"2020","Seafood Sam",27
"2021","Black Eyed Peas",27
"2021","Doja Cat",27
"2021","Kenny Beats, Denzel Curry",27
"2022","ABBA",27
"2022","Don Toliver",27
"2022","Gunna, Future",27
"2022","Meek Mill",27
"2016","A$AP Ferg",26
"2017","Lil Pump",26
"2017","Quality Control, Migos",26
"2018","Big Sean",26
"2018","Swae Lee, Khalid",26
"2019","Meek Mill",26
"2019","Mick Jenkins, Da-P",26
"2019","Sheck Wes",26
"2020","Smokepurpp",26
"2021","Lil Uzi Vert, Internet Money, Don Toliver",26
"2021","Lilskrt4k",26
"2021","XXXTENTACION",26
"2016","VIC MENSA",25
"2017","Wale",25
"2018","Gunna",25
"2018","SZA, Kendrick Lamar",25
"2019","JAY-Z",25
"2019","MIKNNA, Kadhja Bonet, JID, Free Nationals",25
"2019","Young Thug, Future",25
"2020","2forwOyNE",25
"2020","Danny Brown",25
"2020","Domo Genesis",25
"2020","Metro Boomin, 21 Savage",25
"2020","Migos",25
"2021","Blaccmass",25
"2021","DJ Snake, AlunaGeorge",25
"2021","Denzel Curry",25
"2021","Domo Genesis",25
"2021","EARTHGANG",25
"2021","Silk Sonic, Bruno Mars, Anderson .Paak",25
"2021","YoungBoy Never Broke Again",25
"2021","sober rob, Ramzoid",25
"2022","Ab-Soul",25
"2022","Ariana Grande",25
"2022","Bad Bunny",25
"2022","Lil Baby, Gunna",25
"2022","Tanna Leone, Kendrick Lamar",25
"2022","Van Morrison",25
"2016","Amine",24
"2016","Pusha T, Kanye West",24
"2016","T-Pain, Kanye West",24
"2016","The Instrumentals",24
"2017","T-Pain, Kanye West",24
"2018","Migos, Marshmello",24
"2018","Slippery Salazar, Aries",24
"2018","YBN Nahmir, Almighty Jay",24
"2019","ALLBLACK",24
"2019","Breakbot",24
"2019","Calvin Harris",24
"2019","John Givez",24
"2019","Quavo",24
"2020","Baby Smoove",24
"2020","Daniel Caesar, Brandy",24
"2021","Cruza",24
"2021","Rich Brian",24
"2021","Shoreline Mafia",24
"2021","UB40",24
"2022","21 Savage",24
"2022","Black Eyed Peas",24
"2022","Empire of the Sun",24
"2022","Fleetwood Mac",24
"2022","Guns N' Roses",24
"2022","Jonah Zed, Eric Reprid",24
"2022","Mike WiLL Made-It",24
"2022","No Fun Haus",24
"2022","OutKast",24
"2022","Sublime",24
"2022","Vince Staples, Ty Dolla $ign",24
"2022","slowthai, Mura Masa",24
"2016","NxWorries",23
"2017","Gorillaz",23
"2017","NAV, Metro Boomin",23
"2017","Pusha T, Kanye West",23
"2017","Roy Woods",23
"2018","Mura Masa",23
"2018","Victor Oladipo",23
"2019","Jack Harlow, Felly",23
"2019","Lil Nas X",23
"2019","Lute, J. Cole, Dreamville",23
"2019","Tory Lanez, Rich The Kid",23
"2020","Metro Boomin",23
"2020","Vladimir Fedoseyev, Moscow RTV Symphony Orchestra",23
"2021","Coldplay",23
"2021","KuiBtw",23
"2021","Lil Tjay, 6LACK",23
"2021","Olivia Rodrigo",23
"2021","brakence",23
"2022","Bankrol Hayden",23
"2022","Big Sean",23
"2022","Coldplay",23
"2022","Kendrick Lamar, Baby Keem",23
"2022","Kodak Black, Kendrick Lamar",23
"2022","Metro Boomin",23
"2022","Phantogram",23
"2022","The Police",23
"2022","UB40",23
"2022","serpentwithfeet, Mick Jenkins",23
"2016","CJ Fly",22
"2016","Lil Wayne, Kanye West",22
"2016","The Underachievers",22
"2017","Domo Genesis",22
"2017","Kanye West, DJ Premier",22
"2019","DJ Khaled",22
"2019","Lil Uzi Vert, HoodRich Pablo Juan",22
"2019","Mustard",22
"2019","Shay Lia, KAYTRANADA",22
"2019","tobi lou",22
"2020","EARTHGANG",22
"2020","Quality Control, Lil Baby, DaBaby",22
"2020","SiR",22
"2021","Empire of the Sun",22
"2021","Joyner Lucas",22
"2021","Roddy Ricch, 42 Dugg",22
"2022","Knxwledge",22
"2022","Pink Floyd",22
"2022","Sam Dew, Kendrick Lamar, Baby Keem",22
"2022","Swae Lee, Slim Jxmmi, Rae Sremmurd",22
"2022","Young Thug, Young Stoner Life",22
"2022","YoungBoy Never Broke Again",22
"2017","DJ Luke Nasty",21
"2017","Jalen Santoy",21
"2017","Jeezy",21
"2017","Lil Wayne",21
"2017","Rick Ross, Kanye West",21
"2018","Bhad Bhabie",21
"2018","Odd Future",21
"2018","Quavo, Quality Control, Lil Yachty",21
"2018","Sting, Shaggy",21
"2019","Lil Peep",21
"2020","Dave East",21
"2020","Madvillain, Madlib, MF DOOM",21
"2021","Chris Brown",21
"2021","Cosmo Pyke",21
"2021","Maroon 5",21
"2021","Trippie Redd, Playboi Carti",21
"2022","Gucci Mane",21
"2022","Juice WRLD, Future",21
"2022","Kirk Knight",21
"2022","Lil Durk, Lil Baby",21
"2022","Mike Dimes, Dro Kenji",21
"2022","Takeoff",21
"2022","The Night Marchers",21
"2016","Mos Def, Kanye West, Al Be Back",20
"2017","Chief Keef",20
"2017","Denzel Curry",20
"2017","Imagine Dragons",20
"2017","OneRepublic",20
"2017","Raekwon, Kid Cudi, Kanye West",20
"2017","Tay-K",20
"2017","Thundercat",20
"2018","Kodak Black",20
"2018","MadeinTYO",20
"2018","Mustard",20
"2019","J. Cole, Dreamville",20
"2019","Takeoff",20
"2020","EST Gee",20
"2020","Slippery Salazar, Aries",20
"2020","UB40",20
"2020","XXXTENTACION",20
"2021","Guns N' Roses",20
"2021","Lil Baby, Gunna",20
"2021","SOB X RBE",20
"2021","Zacari",20
"2022","Action Bronson",20
