"SchoolPeriod","Artist","Plays"
"Freshman-Sophomore Summer","BabyJake",21
"Freshman-Sophomore Summer","Future",21
"Freshman-Sophomore Summer","Internet Money",21
"Freshman-Sophomore Summer","Joey Bada$$",21
"Freshman-Sophomore Summer","Saint Motel",21
"Sophomore Year","King Harvest",21
"Sophomore Year","MKTO",21
"Sophomore Year","Olympic Ayres",21
"Sophomore Year","Rae Sremmurd",21
"Sophomore Year","Shankar-Ehsaan-Loy",21
"Sophomore-Junior Summer","Mustard",21
"Sophomore-Junior Summer","Twista",21
"10th Grade","AJR",20
"10th Grade","Kodak Black",20
"10th Grade","Majid Jordan",20
"10th Grade","ScHoolboy Q",20
"10th-11th Summer","A$AP Rocky",20
"10th-11th Summer","Green Day",20
"11th Grade","Offset",20
"11th Grade","Tom Petty",20
"11th-12th Summer","Justin Bieber",20
"12th Grade","SZA",20
"12th-Freshman Summer","Bob Seger",20
"12th-Freshman Summer","The Police",20
"8th Grade","Daddy Yankee",20
"Freshman Year","2 Chainz",20
"Freshman Year","Far East Movement",20
"Freshman Year","JiKay",20
"Freshman Year","Journey",20
"Freshman Year","Portugal. The Man",20
"Freshman Year","Santana",20
"Freshman-Sophomore Summer","Galantis",20
"Freshman-Sophomore Summer","NAV",20
"Freshman-Sophomore Summer","NxWorries",20
"Freshman-Sophomore Summer","Trippie Redd",20
"Freshman-Sophomore Summer","mike.",20
"Sophomore Year","DNCE",20
"Sophomore-Junior Summer","Declan McKenna",20
"Sophomore-Junior Summer","Electric Light Orchestra",20
"Sophomore-Junior Summer","Led Zeppelin",20
"10th Grade","Ayo & Teo",19
"10th Grade","Bon Jovi",19
"10th Grade","Rich The Kid",19
"10th-11th Summer","Jorja Smith",19
"11th Grade","G-Eazy",19
"11th Grade","Hoodie Allen",19
"11th Grade","Journey",19
"11th Grade","Justin Bieber",19
"11th Grade","Mura Masa",19
"11th Grade","Rae Sremmurd",19
"11th Grade","ScHoolboy Q",19
"11th Grade","Skrillex",19
"11th-12th Summer","Dizaro",19
"11th-12th Summer","Migos",19
"11th-12th Summer","Sonu Nigam",19
"12th Grade","Creedence Clearwater Revival",19
"12th Grade","Electric Light Orchestra",19
"12th Grade","Robin Bennich",19
"12th Grade","Tory Lanez",19
"12th-Freshman Summer","Electric Light Orchestra",19
"12th-Freshman Summer","Owl City",19
"8th Grade","Dada Life",19
"9th Grade","Lil Uzi Vert",19
"9th Grade","ZAYN",19
"9th-10th Summer","Young Thug",19
"Freshman Year","21 Savage",19
"Freshman Year","Avicii",19
