"ID","Year","Song","Plays"
"2pJZ1v8HezrAoZ0Fhzby92","2018","Ed Sheeran ~ What Do I Know?",36
"0TK2YIli7K1leLovkQiNik","2019","Shawn Mendes ~ Senorita",36
"63yY87yNAwMfKRNuk4I4SR","2020","Lewis Capaldi ~ Before You Go - Edessa Remix",36
"7CuirbdoToNGURPTSxXUyV","2021","Mauve ~ By My Side",36
"3weNRklVDqb4Rr5MhKBR3D","2021","Ludovico Einaudi ~ Nuvole Bianche",36
"2VlLbhGLVJgdOW7kKdWWFc","2021","Billie Eilish ~ Six Feet Under",36
"3uouaAVXpQR3X8RYkJyitQ","2022","Daniel Caesar ~ CYANIDE",36
"1Ia95g66IhlAJ3qVI4qI8W","2022","shy martin ~ Slow",36
"0E0xI4AgMNU7UkwBt3FCVN","2018","The Piano Guys ~ A Thousand Years",35
"7hOfyNuj2dLc0HAEYVDIYS","2018","Nicky Jam ~ El Perdon - Forgiveness",35
"1RouRzlg8OKFeqc6LvdxmB","2018","Maluma ~ Felices los 4",35
"5yVIlYEHZxQVLyInCdldoS","2018","James Arthur ~ Impossible",35
"4yN6xPLopmTLvc27pO9LIE","2018","Nicky Jam ~ Si Tu La Ves (feat. Wisin)",35
"7F7kL3i6SDEIbDcoJZGiig","2018","Daddy Yankee ~ Sigueme Y Te Sigo",35
"38LC7jHjifqs5EnYUv4BgG","2019","Mat Kearney ~ Memorized",35
"0nYSQrRV7Akb8guuycDSqF","2019","Alvaro Soler ~ Sofia",35
"4OBZT9EnhYIV17t4pGw7ig","2020","Daniel Caesar ~ Best Part (feat. H.E.R.)",35
"3bytrtjivyeKqajwZdcdRq","2020","Shoffy ~ I Can't Help",35
"1EzrEOXmMH3G43AXT1y7pA","2020","Jason Mraz ~ I'm Yours",35
"1zTW7xRtxmprjTUDi6bAHg","2020","Jon Bellion ~ Woke The F*ck Up",35
"2ozLskt1nSbuesveWeW4gp","2020","Jeremy Zucker ~ oh, mexico",35
"053EDVshTHTBGMJFAfIwCW","2021","Lofi Fruits Music ~ I'm Yours",35
"7hDVYcQq6MxkdJGweuCtl9","2021","Billie Eilish ~ ocean eyes",35
"7CoMBpPTwQi2wPT0U0Nr9b","2022","Novo Amor ~ State Lines",35
"31wphZxsLDQSmqep0cG9c5","2022","Cat Burns ~ go - Lower & Slower",35
"0atfY1ew83Ql9nNnJiD2t5","2018","J Balvin ~ Bonita",34
"1EzrEOXmMH3G43AXT1y7pA","2018","Jason Mraz ~ I'm Yours",34
"44N88sNHQkshMjQsF2mJfG","2018","The Piano Guys ~ Just the Way You Are",34
"6JflMse23AqmddXJnGiEVJ","2018","Nightcall ~ Let You Go",34
"0AGAlxajK7xQN19o1eplzS","2018","Ed Sheeran ~ Perfect - Robin Schulz Remix",34
"5uEcslrmFzkDqTaFB26yj2","2018","The Piano Guys ~ The Cello Song",34
"6tT4Ks1N04Ut0lSQ3xjSaZ","2019","CNCO ~ Llegaste Tu",34
"5pLpkaIRobcvPnUmclNv6o","2019","Oh Wonder ~ Technicolour Beat",34
"2dXZsbiWJUmr0jnGzuyk5L","2020","Pedro Capo ~ Calma - Alicia Remix",34
