"Season","Artist","Plays"
"Summer","Madvillain, Madlib, MF DOOM",59
"Summer","The Black Keys",59
"Winter","A Tribe Called Quest",59
"Fall","Buddy",58
"Fall","SiR",58
"Spring","OutKast",58
"Summer","KIDS SEE GHOSTS",58
"Fall","Jay Rock",57
"Spring","Ski Mask the Slump God",57
"Winter","Athan",57
"Winter","Madvillain, Madlib, MF DOOM",57
"Fall","Baby Keem",56
"Summer","Baby Keem",56
"Summer","The Underachievers",56
"Winter","OutKast",56
"Winter","Quality Control, Migos",56
"Winter","slowthai",56
"Winter","Cage the Elephant",55
"Summer","Nyck @ Knight",54
"Summer","SOB X RBE",54
"Summer","Wallows",54
"Winter","Baby Keem",54
"Winter","Childish Gambino",54
"Winter","Kendrick Lamar, Jay Rock, James Blake, Future",54
"Fall","Ski Mask the Slump God",53
"Summer","DaBaby",53
"Summer","nothing,nowhere.",53
"Winter","Calvin Harris",53
"Fall","Metro Boomin, Big Sean",52
"Summer","Baby Smoove",52
"Summer","Beast Coast",52
"Winter","Koi",52
"Winter","The Black Keys",51
"Summer","Childish Gambino",50
"Summer","H.E.R.",50
"Summer","Lil Baby, Gunna",50
"Summer","The Beatles",50
"Winter","Ab-Soul",50
"Winter","Lil Baby, Gunna",50
"Winter","MadeinTYO",50
"Winter","Young Thug, Future",50
"Fall","DaBaby",49
"Spring","SOB X RBE",49
"Spring","Zacari",49
"Summer","Calvin Harris",49
"Summer","Lil Yachty",49
"Winter","DJ Khaled",49
"Winter","Polo G",49
"Fall","JAY-Z",48
"Fall","Madvillain, Madlib, MF DOOM",48
"Fall","Rich Brian",48
"Spring","Young Thug, Young Stoner Life",48
"Winter","Patrick Cc:, Jonah Zed",48
"Winter","Slim Jxmmi",48
"Fall","Brent Faiyaz",47
"Fall","Young Thug, Travis Scott",47
"Spring","No Fun Haus",47
"Summer","Tee Grizzley",47
"Spring","Kill Jasper",46
"Fall","6ix9ine",45
"Fall","JID, J. Cole",45
"Fall","Knxwledge",45
"Fall","Lil Mosey",45
"Fall","midwxst",45
"Summer","Greta Van Fleet",45
"Summer","Kanye West, JAY-Z",45
"Summer","Led Zeppelin",45
"Summer","Rich Brian",45
"Summer","The Beach Boys",45
"Winter","6ix9ine",45
"Winter","Kodak Black",45
"Fall","Macklemore & Ryan Lewis",44
"Spring","Beach House",44
"Spring","Meek Mill",44
"Summer","Kodak Black",44
"Winter","Don Toliver",44
"Winter","Gucci Mane",44
