"ID","Year","Song","Plays"
"2zjGJ0dChMR0KxBZS15aqo","2022","Mustard ~ Baguettes in the Face (feat. NAV, Playboi Carti & A Boogie Wit da Hoodie)",12
"1yKu2MhpwzDXXH2tzG6xoa","2022","Weezer ~ Beverly Hills",12
"5GorCbAP4aL0EJ16frG2hd","2022","Green Day ~ Boulevard of Broken Dreams",12
"27a1mYSG5tYg7dmEjWBcmL","2022","Travis Scott ~ CAN'T SAY",12
"2xypqRTnVOL7MjMJ6B79au","2022","Don Toliver ~ Clap - From Road To Fast 9 Mixtape",12
"4DTpngLjoHj5gFxEZFeD3J","2022","Kodak Black ~ Codeine Dreaming (feat. Lil Wayne)",12
"1KdPbQcbJfTn56KaGXtb4Z","2022","Gunna ~ DOLLAZ ON MY HEAD (feat. Young Thug)",12
"3pXF1nA74528Edde4of9CC","2022","Bryson Tiller ~ Don't",12
"3orEOtd8CPL8GFlpRpKuoE","2022","The Weeknd ~ Faith",12
"5nayhWICkQGMTkisxVMbRw","2022","Playboi Carti ~ FlatBed Freestyle",12
"5EWPGh7jbTNO2wakv8LjUI","2022","Lynyrd Skynyrd ~ Free Bird",12
"05KOgYg8PGeJyyWBPi5ja8","2022","Drake ~ Free Smoke",12
"4JehYebiI9JE8sR8MisGVb","2022","Beyonce ~ Halo",12
"0aym2LBJBk9DAYuHHutrIl","2022","The Beatles ~ Hey Jude - Remastered 2015",12
"6BKeNWeUqxmvQ09Gxd3ZGX","2022","Major Lazer ~ Know No Better",12
"152lZdxL1OR0ZMW6KquMif","2022","Khalid ~ Location",12
"3Ol2xnObFdKV9pmRD2t9x8","2022","A Boogie Wit da Hoodie ~ Look Back at It",12
"1goNZsIE8w3NQOzlP40veh","2022","Juice WRLD ~ Make Believe",12
"2WR4vnUdenSmOQHF2jyBTa","2022","Beach House ~ Norway",12
"3rbRruu8hsnbGPBra7xxh1","2022","Bryce Hase ~ Off the Planet",12
"7MmG8p0F9N3C4AXdK6o6Eb","2022","Calvin Harris ~ Outside (feat. Ellie Goulding)",12
"024Q1MI4uaYHF6j2Q2ZYgF","2022","Twista ~ Overnight Celebrity",12
"1ZAyjvIk9YiD76yYy0TEG6","2022","Rich The Kid ~ Plug Walk",12
"0qRR9d89hIS0MHRkQ0ejxX","2022","Daryl Hall & John Oates ~ Rich Girl",12
"3DK6m7It6Pw857FcQftMds","2022","Kanye West ~ Runaway",12
"7GwYENSg87oERcW0Wacd6m","2022","Gunna ~ SKYBOX",12
"0odHj0qIf86vHBsXB30IkZ","2022","Wiz Khalifa ~ So High (feat. Ghost Loft)",12
"5kkaSMcf4BFlhRRICCKZb6","2022","Pop Smoke ~ Something Special",12
"59RSrxkSKSixEWBAIvE5Wa","2022","Nicki Minaj ~ Starships",12
"17Q87zeXgsAi9iQQbMu9v0","2022","Drake ~ Summer Sixteen",12
"43DeSV93pJPT4lCZaWZ6b1","2022","Thin Lizzy ~ The Boys Are Back In Town",12
"2bJvI42r8EF3wxjOuDav4r","2022","Pitbull ~ Time of Our Lives",12
"2RnPATK99oGOZygnD2GTO6","2022","The Beatles ~ With A Little Help From My Friends - Remastered 2009",12
"1fmZQL9o1Lv9Pcqbi7IKUM","2022","whiterosemoxie ~ trix (Remix) [feat. Baby Smoove]",12
"4ADNavlMOA9rx9hKw51PCW","2022","Logic ~ untitled",12
"7C86DVl6REN8VPeGEMOf9q","2016","Sean Paul ~ Get Busy",11
"40PYeQjt149YOfq6H20vmd","2016","Peking Duk ~ High (feat. Nicole Millar)",11
"7HzCxalzzYQOFb9a7Xs3j6","2016","Mike Posner ~ I Took A Pill In Ibiza - Seeb Remix",11
"6sy3LkhNFjJWlaeSMNwQ62","2017","OneRepublic ~ Counting Stars",11
"4bdJHQp90ymjEIkkYhcENB","2017","Rich Brian ~ Dat $tick",11
"3AGOgQzp0YcPH41u9p7dOp","2017","The Wanted ~ Glad You Came",11
"1e1JKLEDKP7hEQzJfNAgPl","2017","Playboi Carti ~ Magnolia",11
"05nbZ1xxVNwUTcGwLbp7CN","2017","NAV ~ Myself",11
"4dVpf9jZjcORqGTLUaeYj9","2017","A$AP Ferg ~ Plain Jane",11
"5XQMr19TL7Mfksq9zihbOu","2017","Chris Brown ~ Questions",11
"7vGuf3Y35N4wmASOKLUVVU","2017","Marshmello ~ Silence",11
"17Q87zeXgsAi9iQQbMu9v0","2017","Drake ~ Summer Sixteen",11
"3Z2sglqDj1rDRMF5x0Sz2R","2018","Childish Gambino ~ 3005",11
"22L7bfCiAkJo5xGSQgmiIO","2018","Kanye West ~ All Of The Lights",11
"57JVGBtBLCfHw2muk5416J","2018","Queen ~ Another One Bites The Dust - Remastered 2011",11
