"Month","Artist","Plays"
"11","Atif Aslam",22
"11","Borgeous",22
"11","KSHMR",22
"11","Sam Smith",22
"11","XXXTENTACION",22
"12","John Legend",22
"12","Kollegah",22
"12","Lewis Capaldi",22
"12","Ruel",22
"01","AJR",21
"01","Bruno Mars",21
"01","Martin Garrix",21
"01","Masego",21
"02","Jason Mraz",21
"02","Luis Fonsi",21
"03","Jason Mraz",21
"03","Lolo Zouai",21
"03","ODIE",21
"04","Bastille",21
"04","Bryce Vine",21
"04","Faime",21
"05","A R I Z O N A",21
"05","Cheat Codes",21
"05","Herdis Stefansdottir",21
"05","Jack Jezzro",21
"05","James Blake",21
"05","Kanye West",21
"05","Masego",21
"05","Patrick Watson",21
"05","Shawn Mendes",21
"06","Alan Menken",21
"06","James Blake",21
"06","Masego",21
"06","Mau y Ricky",21
"07","Calvin Harris",21
"07","Lostboycrow",21
"07","Pedro Capo",21
"08","Akon",21
"08","Sam Smith",21
"08","Shawn Mendes",21
"09","Calum Scott",21
"09","Naturally Recurring",21
"09","Verzache",21
"09","keshi",21
"10","Atif Aslam",21
"10","Chelsea Cutler",21
"10","Hollow Coves",21
"10","Lewis Capaldi",21
"11","Justin Bieber",21
"11","Lucky Daye",21
"11","SAINt JHN",21
"11","Sid Sriram",21
"11","Sleeping At Last",21
"11","The Chainsmokers",21
"12","6LACK",21
"12","Ali Gatie",21
"12","Anson Seabra",21
"12","Daddy Yankee",21
"12","Frank Ocean",21
"12","Gradur",21
"12","James Arthur",21
"12","Maes",21
"12","Miguel",21
"12","SAINt JHN",21
"01","Edwin Austin",20
"01","Rihanna",20
"01","Shoffy",20
"01","The Chainsmokers",20
"02","Weston Estate",20
"03","Bruno Major",20
"03","R3HAB",20
"04","Anson Seabra",20
"04","Borgeous",20
"04","Lewis Capaldi",20
"04","R3HAB",20
"04","Ruth B.",20
"04","Sasha Alex Sloan",20
"04","Tom Shea",20
"05","Charles Bolt",20
"05","Jaden",20
"05","Lolo Zouai",20
"05","PRETTYMUCH",20
"05","Ruel",20
"05","Sasha Alex Sloan",20
"05","blackbear",20
"06","Alina Baraz",20
"06","Kendrick Lamar",20
"06","Kina",20
"06","Tiesto",20
"07","Anson Seabra",20
"07","Bruno Major",20
"07","Dreamville",20
"07","Imagine Dragons",20
"07","Kasbo",20
"07","Russ",20
"07","Zedd",20
"08","Bryce Vine",20
"08","Coldplay",20
"08","Grady",20
"08","Kasbo",20
"08","Marshmello",20
"09","Bedtime Instrumental Piano Music Academy",20
"09","OneRepublic",20
"09","Pedro Capo",20
"09","shy martin",20
"10","Alina Baraz",20
"10","Finding Hope",20
"10","Masego",20
"10","Sasha Alex Sloan",20
"10","Travis Scott",20
"10","UMI",20
"11","Dean Lewis",20
"11","Faime",20
"11","Jai Wolf",20
"11","MAX",20
"11","Miguel",20
"11","Petit Biscuit",20
"12","Chelsea Cutler",20
"12","Shallou",20
"12","Sia",20
"01","ILLENIUM",19
"01","James TW",19
"01","Shawn Mendes",19
"02","Post Malone",19
"02","Sia",19
"02","Takagi & Ketra",19
"02","blackbear",19
"03","Daddy Yankee",19
"03","Joji",19
"03","Oh Wonder",19
"03","Tom Shea",19
"04","Big Sean",19
"04","Maggie Lindemann",19
"04","Maroon 5",19
"04","Miguel",19
"04","Novo Amor",19
"04","Shallou",19
"04","Sia",19
"05","Daniel Schulz",19
"05","Gavin Luke",19
"05","J Balvin",19
"05","Noah Kahan",19
"05","Peter Sandberg",19
"05","R3HAB",19
"06","Anuel AA",19
"06","Bruno Major",19
"06","Chelsea Cutler",19
"06","Emotional Oranges",19
"06","James Arthur",19
"06","Jason Mraz",19
"06","Justin Bieber",19
"06","Patrick Watson",19
"06","Rihanna",19
"06","Zedd",19
"06","fun.",19
"07","Dominic Fike",19
"07","James Blake",19
"07","Jason Mraz",19
"07","Major Lazer",19
"07","PRETTYMUCH",19
"08","6LACK",19
"08","Alvaro Soler",19
"08","MAX",19
"08","NURKO",19
"08","Verzache",19
"09","Christian French",19
"09","Finding Hope",19
"09","Gryffin",19
"09","John Legend",19
"09","Matter and Energy",19
"09","Ruel",19
"09","Shallou",19
"09","SiR",19
"10","Big Sean",19
"10","Dean Lewis",19
"10","Ruel",19
"10","SAINt JHN",19
"11","Bruno Major",19
"11","Chainwave",19
"11","Coldplay",19
"11","Gryffin",19
"11","J Balvin",19
"11","Joji",19
"11","PRETTYMUCH",19
"12","Alec Benjamin",19
"12","Avicii",19
"12","Labrinth",19
"12","Mr Killjoy",19
"12","R3HAB",19
"12","St. Viper",19
"12","blackbear",19
