"MonthYear","Artist","Plays"
"2021-06","Bruno Mars",29
"2021-10","Roddy Ricch",29
"2022-12","The Weeknd",29
"2017-06","Logic",28
"2018-11","Migos",28
"2018-12","Drake",28
"2019-05","Travis Scott",28
"2019-08","Kanye West",28
"2019-08","Lil Tecca",28
"2019-12","DaBaby",28
"2021-04","Coldplay",28
"2021-04","The Weeknd",28
"2022-05","Logic",28
"2022-05","Miguel",28
"2022-05","Roddy Ricch",28
"2022-10","The Weeknd",28
"2017-11","Eminem",27
"2018-10","Kendrick Lamar",27
"2019-10","Mustard",27
"2019-10","OneRepublic",27
"2020-05","Tyler, The Creator",27
"2020-12","Frank Ocean",27
"2021-03","Justin Timberlake",27
"2021-05","Don Toliver",27
"2021-05","Kid Cudi",27
"2021-09","Travis Scott",27
"2022-02","The Beatles",27
"2022-03","Tory Lanez",27
"2022-06","Beach House",27
"2022-09","Drake",27
"2022-11","Kid Cudi",27
"2017-05","Drake",26
"2017-10","The Weeknd",26
"2018-03","Drake",26
"2018-03","The Weeknd",26
"2019-04","blackbear",26
"2019-07","Kendrick Lamar",26
"2019-07","Maroon 5",26
"2020-01","Billie Eilish",26
"2020-03","Kendrick Lamar",26
"2020-07","Yusuf / Cat Stevens",26
"2020-11","Brent Faiyaz",26
"2020-11","KIDS SEE GHOSTS",26
"2021-06","Calvin Harris",26
"2021-11","Kanye West",26
"2021-12","Queen",26
"2022-01","Calvin Harris",26
"2022-01","Rex Orange County",26
"2016-04","Foo Fighters",25
"2017-04","Future",25
"2017-05","Maroon 5",25
"2017-08","J. Cole",25
"2017-10","The Beatles",25
"2017-11","Logic",25
"2017-12","Drake",25
"2019-01","Drake",25
"2019-03","6ix9ine",25
"2019-09","Mustard",25
"2020-09","Lil Wayne",25
"2020-10","The Who",25
"2021-03","Kendrick Lamar",25
"2021-04","Post Malone",25
"2021-12","Bryson Tiller",25
"2021-12","Calvin Harris",25
"2021-12","Khalid",25
"2022-01","Mac Miller",25
"2022-02","Calvin Harris",25
"2022-02","The Weeknd",25
"2022-06","whiterosemoxie",25
"2022-07","Cage The Elephant",25
