"Season","Album","Plays"
"Winter","Queen ~ The Game",52
"Fall","The Weeknd ~ Beauty Behind The Madness",51
"Fall","Childish Gambino ~ Because The Internet",51
"Fall","Maroon 5 ~ Songs About Jane: 10th Anniversary Edition",51
"Spring","Bryson Tiller ~ A N N I V E R S A R Y",51
"Spring","Calvin Harris ~ Motion",51
"Spring","mike. ~ This Isn't The Album",51
"Spring","Maroon 5 ~ V",51
"Summer","Future ~ HNDRXX",51
"Winter","Foster The People ~ Sacred Hearts Club",51
"Fall","Ellie Goulding ~ Close To Me (feat. Swae Lee)",50
"Spring","GoldLink ~ At What Cost",50
"Spring","The Weeknd ~ My Dear Melancholy,",50
"Spring","Macklemore & Ryan Lewis ~ The Heist",50
"Summer","Alina Baraz ~ Electric (feat. Khalid)",50
"Summer","Baby Keem ~ The Sound of Bad Habit",50
"Winter","Calvin Harris ~ Funk Wav Bounces Vol.1",50
"Winter","Mura Masa ~ Mura Masa",50
"Fall","Mike Posner ~ 31 Minutes to Takeoff",49
"Fall","Kanye West ~ Late Registration",49
"Fall","Roddy Ricch ~ Please Excuse Me for Being Antisocial",49
"Fall","The Beatles ~ Please Please Me",49
"Fall","TOTO ~ Toto",49
"Fall","Kanye West ~ Yeezus",49
"Summer","21 Savage ~ Issa Album",49
"Winter","Playboi Carti ~ Die Lit",49
"Winter","Don Toliver ~ Heaven Or Hell",49
"Winter","DaBaby ~ KIRK",49
"Winter","Kanye West ~ Late Registration",49
"Winter","The Beatles ~ Let It Be",49
"Winter","Billie Eilish ~ WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",49
"Fall","blackbear ~ digital druglord",48
"Spring","A Boogie Wit da Hoodie ~ Hoodie SZN",48
"Spring","Tyler, The Creator ~ IGOR",48
"Spring","Billie Eilish ~ WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",48
"Summer","Juice WRLD ~ Legends Never Die",48
"Summer","Mura Masa ~ Mura Masa",48
"Fall","Kendrick Lamar ~ untitled unmastered.",47
"Summer","NAV ~ NAV",47
"Summer","Brent Faiyaz ~ WASTELAND",47
"Summer","Kanye West ~ Yeezus",47
"Winter","Frank Ocean ~ Chanel",47
"Winter","Tom Petty and the Heartbreakers ~ Pack Up The Plantation: Live!",47
"Fall","Calvin Harris ~ Motion",46
"Fall","Justin Bieber ~ Purpose",46
"Fall","Bon Jovi ~ Slippery When Wet",46
"Fall","The Weeknd ~ Trilogy",46
"Summer","KIDS SEE GHOSTS ~ KIDS SEE GHOSTS",46
"Summer","OneRepublic ~ Native",46
"Summer","Roy Woods ~ Say Less",46
"Summer","Pacific Air ~ Stop Talking",46
"Summer","blackbear ~ deadroses",46
"Winter","George Harrison ~ All Things Must Pass",46
"Winter","Eagles ~ One of These Nights",46
"Fall","Tyler, The Creator ~ Flower Boy",45
"Fall","Fleetwood Mac ~ Rumours",45
"Fall","Mac Miller ~ Swimming",45
"Fall","Queen ~ The Works",45
"Spring","Tory Lanez ~ Alone At Prom",45
"Spring","Jon Bellion ~ Guillotine",45
"Spring","Daft Punk ~ Random Access Memories",45
"Summer","Don Toliver ~ Donny Womack",45
"Summer","Queen ~ Jazz",45
"Winter","Tom Petty ~ Full Moon Fever",45
"Winter","PARTYNEXTDOOR ~ LOYAL (feat. Drake)",45
"Winter","Drake ~ Scorpion",45
"Fall","Eminem ~ Kamikaze",44
"Fall","NAV ~ RECKLESS",44
"Fall","Eminem ~ The Marshall Mathers LP",44
"Fall","JAY-Z ~ Watch The Throne",44
"Summer","Tyler, The Creator ~ IGOR",44
"Summer","Mustard ~ Perfect Ten",44
"Winter","Post Malone ~ Hollywood's Bleeding",44
"Winter","Calvin Harris ~ Motion",44
"Winter","A$AP Rocky ~ Sundress",44
"Winter","TOTO ~ Toto",44
"Winter","iann dior ~ gone girl",44
"Fall","Khalid ~ American Teen",43
"Fall","Tom Petty ~ Full Moon Fever",43
"Spring","J. Cole ~ 4 Your Eyez Only",43
"Spring","Logic ~ Bobby Tarantino",43
"Spring","Future ~ FUTURE",43
"Spring","fun. ~ Some Nights",43
"Spring","KYLE ~ iSpy (feat. Lil Yachty)",43
"Summer","Justin Bieber ~ Purpose",43
"Summer","YNW Melly ~ We All Shine",43
"Winter","Kendrick Lamar ~ To Pimp A Butterfly",43
"Fall","Childish Gambino ~ """"Awaken, My Love!""""",42
