"Year","Album","Plays"
"2020","Post Malone ~ Hollywood's Bleeding",27
"2020","Oh Wonder ~ Home Tapes",27
"2020","Alec Benjamin ~ Narrated For You",27
"2020","Josep Alba ~ Sleep Well",27
"2021","Kungs ~ Dopamine",27
"2021","Mac Ayres ~ Drive Slow",27
"2021","Kid Cudi ~ Man On The Moon II: The Legend Of Mr. Rager",27
"2021","Kasbo ~ The Making of a Paracosm",27
"2021","George Ezra ~ Wanted on Voyage",27
"2021","The Piano Guys ~ Wonders",27
"2021","Paul Whitacre ~ heavy / gettysburg",27
"2022","Big Sean ~ Dark Sky Paradise",27
"2022","David Kushner ~ Miserable Man",27
"2022","Pitbull ~ Planet Pit",27
"2022","Jorja Smith ~ Project 11",27
"2022","Shafqat Amanat Ali ~ Ra-One",27
"2022","Emmit Fenn ~ Yellow",27
"2016","Yiruma ~ The Joy of Yiruma",26
"2018","Lulleaux ~ Contact",26
"2018","CNCO ~ Hey DJ",26
"2018","Sam Feldt ~ Show Me Love",26
"2018","Alvaro ~ Watching You",26
"2018","Selena Gomez ~ Wolves",26
"2019","Jesper Jenset ~ Bad Vibrations",26
"2019","Tinlicker ~ Because You Move Me",26
"2019","Nidza Bleja ~ Fjucurinzi",26
"2019","Nidza Bleja ~ Ledilo",26
"2019","KYLE ~ Light of Mine",26
"2019","Chris Burton ~ Love Letters",26
"2019","MAX ~ Love Me Less (feat. Quinn XCII)",26
"2019","XXXTENTACION ~ SKINS",26
"2019","Daniel Schulz ~ Turn Back Time",26
"2019","The Chainsmokers ~ World War Joy...Takeaway",26
"2020","Pink Sweat$ ~ 17",26
"2020","Mauve ~ By My Side",26
"2020","John Ocean ~ Clouds and Mountains",26
"2020","Viclo ~ Dream Dependence",26
"2020","Josep Alba ~ Dulces Suenos",26
"2020","Pink Sweat$ ~ Honesty",26
"2020","Elvar Arngrimsson ~ Hugsanir",26
"2020","Sia ~ LABRINTH, SIA & DIPLO PRESENT... LSD",26
"2020","Lost Wings ~ Levitate",26
"2020","Naturally Recurring ~ Light of The Moon",26
"2020","Artura Ponce Valles ~ No me despiertes",26
"2020","Quinn XCII ~ Panama",26
"2020","Otto A. Totland ~ Pino",26
"2020","CNCO ~ Que Quienes Somos",26
"2020","OneRepublic ~ Waking Up",26
"2020","George Ezra ~ Wanted on Voyage",26
"2021","Sabrina Claudio ~ About Time",26
"2021","KSHMR ~ Bombay Dreams (feat. Kavita Seth)",26
"2021","Sasha Alex Sloan ~ Dancing With Your Ghost",26
"2021","Ollie MN ~ Friendly Dark",26
"2021","SAINt JHN ~ Ghetto Lenny's Love Songs",26
"2021","Nazareno Aversa ~ Great Songs for Piano",26
"2021","Oh Wonder ~ Home Tapes",26
