"Season","Album","Plays"
"Summer","A R I Z O N A ~ Oceans Away",32
"Winter","Ed Sheeran ~ +",32
"Winter","XXXTENTACION ~ 17",32
"Winter","Lewis Capaldi ~ Divinely Uninspired To A Hellish Extent",32
"Winter","Bruno Mars ~ Doo-Wops & Hooligans",32
"Winter","Limited Tym ~ GROW",32
"Winter","Kygo ~ Stargazing",32
"Winter","Robin Schulz ~ Uncovered",32
"Fall","Nicky Jam ~ Greatest Hits, Vol. 1",31
"Fall","Lolo Zouai ~ High Highs to Low Lows",31
"Fall","Keala Settle ~ The Greatest Showman (Original Motion Picture Soundtrack)",31
"Spring","XXXTENTACION ~ 17",31
"Spring","Lewis Capaldi ~ Before You Go",31
"Spring","Mat Kearney ~ CRAZYTALK",31
"Spring","Takagi & Ketra ~ JAMBO",31
"Summer","Mac Miller ~ Swimming",31
"Winter","Quinn XCII ~ A Letter To My Younger Self",31
"Winter","Tyler and Mark ~ Beautiful Dreams",31
"Winter","Quinn XCII ~ Change of Scenery",31
"Winter","Justin Bieber ~ Changes",31
"Winter","ODESZA ~ In Return",31
"Winter","Lacrim ~ R.I.P.R.O 3",31
"Winter","LEON ~ You And I",31
"Fall","Bruno Major ~ A Song For Every Moon",30
"Fall","ILLENIUM ~ ASCEND",30
"Fall","James Blake ~ Assume Form",30
"Fall","KYLE ~ Light of Mine",30
"Fall","The Cinematic Orchestra ~ Ma Fleur",30
"Fall","Bazzi ~ Soul Searching",30
"Fall","Aries ~ WELCOME HOME",30
"Spring","Novo Amor ~ Bathing Beach",30
"Spring","VAX ~ Fireproof (feat. Teddy Sky)",30
"Spring","Sam Smith ~ In The Lonely Hour",30
"Spring","ayokay ~ In the Shape of a Dream",30
"Spring","Faime ~ Journeys",30
"Spring","Pink Sweat$ ~ PINK PLANET",30
"Spring","Zedd ~ True Colors",30
"Summer","BANNERS ~ Empires On Fire",30
"Summer","Daniel Caesar ~ Freudian",30
"Summer","Akon ~ Konvicted",30
"Summer","Stanislav Gallin ~ Music From The Twilight Saga",30
"Summer","Quinn XCII ~ Stacy",30
"Winter","Novo Amor ~ Bathing Beach",30
"Winter","Big Sean ~ Dark Sky Paradise",30
"Winter","Rihanna ~ FourFiveSeconds",30
"Winter","ayokay ~ In the Shape of a Dream",30
"Winter","Mitch James ~ Mitch James - Deluxe Edition",30
"Winter","Giveon ~ TAKE TIME",30
"Winter","Lola Fernando ~ Usman Soto",30
"Fall","Pedro Capo ~ Calma",29
"Fall","SAINt JHN ~ Ghetto Lenny's Love Songs",29
"Fall","ODESZA ~ In Return",29
"Fall","Jai Wolf ~ Kindred Spirits",29
"Fall","Billie Eilish ~ when the party's over",29
"Spring","Mauve ~ By My Side",29
"Spring","Daniel Caesar ~ CASE STUDY 01",29
"Spring","Big Sean ~ Dark Sky Paradise",29
"Spring","Lauv ~ I met you when I was 18.",29
"Spring","Khalid ~ Love Lies (with Normani)",29
"Spring","The Cinematic Orchestra ~ Ma Fleur",29
"Spring","Bryant Myers ~ Tanta Falta Remix",29
"Spring","Bruno Major ~ To Let A Good Thing Die",29
"Spring","Ariana Grande ~ thank u, next",29
"Summer","Bruno Major ~ A Song For Every Moon",29
"Summer","Shoffy ~ Lenses",29
"Summer","Andy Grammer ~ Naive",29
"Winter","Frank Ocean ~ Blonde",29
"Winter","SZA ~ Ctrl",29
"Winter","VAX ~ Fireproof (feat. Teddy Sky)",29
"Winter","Billie Eilish ~ lovely (with Khalid)",29
"Fall","XXXTENTACION ~ 17",28
"Fall","Mauve ~ By My Side",28
"Fall","Holmsey ~ Escape",28
"Fall","Israel Kamakawiwo'ole ~ Facing Future",28
"Fall","CNCO ~ Hey DJ",28
"Fall","Peter Manos ~ In My Head",28
"Fall","ayokay ~ In the Shape of a Dream",28
"Fall","Shoffy ~ Lenses",28
"Fall","Hollow Coves ~ The Woods (Acoustic)",28
"Spring","Alan Walker ~ Different World",28
"Spring","Kid Cudi ~ Man On The Moon II: The Legend Of Mr. Rager",28
"Spring","A R I Z O N A ~ Oceans Away",28
"Spring","Kanye West ~ ye",28
"Summer","Israel Kamakawiwo'ole ~ Facing Future",28
"Summer","Elephante ~ Glass Mansion",28
"Summer","Khalid ~ Love Lies (with Normani)",28
"Summer","Alec Benjamin ~ Narrated For You",28
"Summer","The Piano Guys ~ The Piano Guys 2",28
"Winter","Neutral Commitment ~ A Message from Teen Romance: A Message from Earth to Heaven / Teen Romance",28
"Winter","Daniel Caesar ~ CASE STUDY 01",28
"Winter","Beyonce ~ I AM...SASHA FIERCE",28
"Winter","Jeremy Zucker ~ Motions",28
"Winter","Russ ~ September 16",28
"Winter","Quinn XCII ~ Two 10s",28
"Fall","XXXTENTACION ~ ?",27
"Fall","CNCO ~ CNCO",27
"Fall","Hozier ~ Hozier",27
"Fall","Tom Odell ~ Magnetised",27
"Fall","FINNEAS ~ Optimist",27
"Fall","Maluma ~ PB.DB. The Mixtape",27
"Fall","Pink Sweat$ ~ PINK PLANET",27
"Fall","The Piano Guys ~ The Piano Guys 2",27
"Fall","Pink Sweat$ ~ The Prelude",27
"Fall","Ludovico Einaudi ~ Una Mattina",27
"Fall","Lewis Watson ~ little light (acoustic version)",27
"Spring","Agnes Obel ~ Aventine",27
"Spring","Bastille ~ Bad Blood",27
"Spring","Lauv ~ Spotify Singles",27
"Summer","Sleeping At Last ~ Atlas: II",27
"Summer","Ellie Goulding ~ Brightest Blue",27
"Summer","Ludovico Einaudi ~ Eden Roc",27
"Summer","A R I Z O N A ~ GALLERY",27
"Summer","SAINt JHN ~ Ghetto Lenny's Love Songs",27
"Summer","Patrick Watson ~ Je te laisserai des mots",27
"Summer","Kid Cudi ~ Man On The Moon II: The Legend Of Mr. Rager",27
"Summer","Jeremy Zucker ~ Motions",27
"Summer","Marshmello ~ Silence",27
"Summer","Kasbo ~ The Making of a Paracosm",27
"Summer","Akon ~ Trouble",27
"Summer","George Ezra ~ Wanted on Voyage",27
"Summer","Billie Eilish ~ lovely (with Khalid)",27
"Winter","Evan Rachel Wood ~ Frozen 2",27
"Winter","Post Malone ~ Hollywood's Bleeding",27
"Winter","Lauv ~ I met you when I was 18.",27
"Winter","Kid Cudi ~ Man On The Moon: The End Of Day",27
"Winter","Mitch James ~ Move On",27
"Winter","Metro Boomin ~ NOT ALL HEROES WEAR CAPES",27
"Winter","Bobby McFerrin ~ Simple Pleasures",27
"Winter","fun. ~ Some Nights",27
"Winter","Ludovico Einaudi ~ Una Mattina",27
"Winter","St. Viper ~ Zaraze",27
"Fall","Labrinth ~ Euphoria (Original Score from the HBO Series)",26
"Fall","Ollie MN ~ Friendly Dark",26
"Fall","San Holo ~ IT HURTS!",26
"Fall","Kamal. ~ blue",26
"Spring","Bazzi ~ COSMIC",26
"Spring","Justin Bieber ~ Changes",26
"Spring","Stanislav Gallin ~ Music From The Twilight Saga",26
"Spring","LEON ~ You And I",26
"Spring","Kamal. ~ blue",26
"Summer","Sleeping At Last ~ Atlas: I",26
"Summer","Daniel Caesar ~ CASE STUDY 01",26
"Summer","Big Sean ~ Dark Sky Paradise",26
"Summer","Maluma ~ F.A.M.E.",26
"Summer","Klangkarussell ~ Hey Maria",26
"Summer","Martin Garrix ~ Ocean (feat. Khalid)",26
"Summer","fun. ~ Some Nights",26
"Summer","Daniel Schulz ~ Turn Back Time",26
"Summer","The Chainsmokers ~ World War Joy",26
"Winter","Nidza Bleja ~ Fjucurinzi",26
"Winter","James TW ~ For You",26
"Winter","Nidza Bleja ~ Ledilo",26
"Winter","Cali Y El Dandee ~ Nada",26
"Winter","Imagine Dragons ~ Night Visions",26
"Winter","Daddy Yankee ~ Sigueme Y Te Sigo",26
"Winter","Billie Eilish ~ Six Feet Under",26
"Winter","Dermot Kennedy ~ Spotify Singles",26
"Winter","Jeremy Zucker ~ idle",26
"Fall","KSHMR ~ Bombay Dreams (feat. Kavita Seth)",25
"Fall","Bruno Mars ~ Doo-Wops & Hooligans",25
"Fall","Lindsey Stirling ~ Hallelujah",25
"Fall","Maluma ~ Hawai",25
"Fall","San Holo ~ Light",25
"Fall","JONES ~ Melt (Acoustic Version)",25
"Fall","Finding Hope ~ Our Love",25
"Fall","Anson Seabra ~ Robin Hood",25
"Fall","Shawn Mendes ~ Shawn Mendes",25
"Fall","Jai Wolf ~ Starlight",25
"Fall","Yiruma ~ The Joy of Yiruma",25
"Spring","Tinlicker ~ Because You Move Me",25
"Spring","bulow ~ Crystalline",25
"Spring","SZA ~ Ctrl",25
"Spring","Kendrick Lamar ~ DAMN.",25
"Spring","Alan Walker ~ Faded",25
"Spring","Hans Zimmer ~ The Lion King",25
"Summer","Tyler and Mark ~ Beautiful Dreams",25
"Summer","Frank Ocean ~ Blonde",25
