"SchoolPeriod","Artist","Plays"
"Sophomore Year","A$AP Rocky",114
"8th-9th Summer","Vince Staples",113
"9th-10th Summer","Kid Cudi",113
"10th Grade","Young Thug, Future",112
"10th-11th Summer","Mac Miller",112
"11th Grade","Playboi Carti",112
"12th-Freshman Summer","Kanye West",112
"9th-10th Summer","A$AP Rocky",112
"Freshman Year","Joey Bada$$",112
"10th-11th Summer","Buddy",111
"12th Grade","Gunna",111
"12th-Freshman Summer","Pink Floyd",111
"12th-Freshman Summer","Travis Scott",111
"9th-10th Summer","Daniel Caesar",111
"Freshman-Sophomore Summer","Lil Uzi Vert",111
"8th-9th Summer","Desiigner",110
"9th-10th Summer","Mick Jenkins",110
"9th-10th Summer","SZA",110
"11th Grade","REASON",109
"Sophomore Year","Smino",109
"12th-Freshman Summer","The Beatles",108
"9th-10th Summer","Joyner Lucas",108
"9th-10th Summer","Kanye West",108
"Sophomore Year","Ty Dolla $ign",108
"Sophomore-Junior Summer","Future",108
"10th-11th Summer","Amine",107
"8th Grade","Rae Sremmurd",107
"11th-12th Summer","Mick Jenkins",106
"12th-Freshman Summer","Knxwledge",106
"8th Grade","Nas",106
"8th-9th Summer","Ty Dolla $ign",106
"11th Grade","WESTSIDE BOOGIE",105
"Freshman Year","Drake",105
"Sophomore Year","The Beatles",105
"Freshman Year","Tory Lanez",104
"10th Grade","Trippie Redd",103
"11th Grade","Mac Miller",103
"9th Grade","Kirk Knight",103
"8th Grade","ScHoolboy Q",102
"10th Grade","KIDS SEE GHOSTS",101
"8th-9th Summer","Dr. Dre",101
"10th Grade","JID",100
"10th-11th Summer","Southside, G Herbo",100
"Sophomore Year","Grouplove",100
"Sophomore Year","Playboi Carti",100
"Sophomore-Junior Summer","The Weeknd",100
"Sophomore Year","Daniel Caesar",99
"11th Grade","Comethazine",98
"9th Grade","Childish Gambino",97
"Sophomore Year","Radiohead",97
"9th Grade","The Underachievers",96
"Freshman Year","Guapdad 4000, !llmind",96
"Freshman Year","Lil Baby",96
"11th Grade","Jay Rock",95
"12th Grade","Joey Bada$$",95
"Freshman-Sophomore Summer","Jonah Zed",95
"Sophomore Year","Anderson .Paak",95
"12th Grade","Bryson Tiller",93
"12th-Freshman Summer","The Beach Boys",93
"Sophomore-Junior Summer","Kanye West",93
"11th Grade","Ramzoid",92
"12th-Freshman Summer","Joey Bada$$",92
"9th-10th Summer","2 Chainz",92
"Freshman Year","Future",92
"Freshman-Sophomore Summer","ScHoolboy Q",92
"Sophomore-Junior Summer","PARTYNEXTDOOR",92
"10th Grade","Famous Dex",91
"10th-11th Summer","Wiz Khalifa",90
"11th Grade","Beast Coast",90
"11th Grade","Chester Watson",90
"10th Grade","Eminem",89
"11th Grade","Kirk Knight",89
"11th Grade","whiterosemoxie",89
"Freshman Year","Travis Scott",89
"Sophomore-Junior Summer","Bryson Tiller",89
"Sophomore-Junior Summer","Jonah Zed",89
"10th-11th Summer","Nas",88
"8th Grade","Earl Sweatshirt",88
"Sophomore Year","Denzel Curry",88
"Sophomore-Junior Summer","redveil",88
"11th Grade","2 Chainz",87
"11th Grade","Ski Mask the Slump God",87
"12th-Freshman Summer","Young Thug",87
"Sophomore Year","Baby Keem",87
"Sophomore Year","Jaden",87
"11th Grade","Meek Mill",86
"12th Grade","Tory Lanez",86
"Sophomore Year","Beach House",86
"Sophomore Year","Saba",86
"10th-11th Summer","Playboi Carti",85
"11th Grade","Lil Yachty",85
"8th Grade","A$AP Rocky",85
"9th Grade","Snoop Dogg",85
"Freshman-Sophomore Summer","Travis Scott",85
"Sophomore Year","The Beach Boys",85
"11th Grade","Travis Scott, Quavo, HUNCHO JACK",84
"11th-12th Summer","Travis Scott",84
"12th-Freshman Summer","Isaiah Rashad",84
"8th-9th Summer","6LACK",84
"9th Grade","DJ Khaled",84
"Freshman Year","BROCKHAMPTON",84
"Freshman-Sophomore Summer","Mac Miller",84
"9th Grade","Dr. Dre",83
"10th Grade","Mir Fontane",82
"11th Grade","Flatbush Zombies",82
"12th Grade","Rich The Kid",82
"12th-Freshman Summer","The 1975",82
"9th Grade","Flatbush Zombies",82
"Sophomore Year","NxWorries, Knxwledge, Anderson .Paak",82
"Sophomore Year","Pusha T",82
"12th Grade","Frank Ocean",81
"9th-10th Summer","Vince Staples",81
"Freshman Year","Cage the Elephant",81
"Sophomore Year","SiR",81
"Freshman Year","Kid Cudi",80
"Freshman-Sophomore Summer","Roddy Ricch",80
"Sophomore-Junior Summer","Tyler, The Creator",80
"10th Grade","Rae Sremmurd",79
