"Season","Artist","Plays"
"Winter","French Montana",18
"Winter","Labh Janjua",18
"Winter","Ludacris",18
"Winter","Portugal. The Man",18
"Winter","Quinn XCII",18
"Winter","The Doobie Brothers",18
"Winter","Trippie Redd",18
"Winter","Ty Dolla $ign",18
"Fall","AC/DC",17
"Fall","Eamonn Watt",17
"Fall","Johannes Bornlof",17
"Fall","Rae Sremmurd",17
"Fall","The Band",17
"Fall","Tim Hardin",17
"Fall","Weezer",17
"Fall","Zedd",17
"Spring","Bob Seger",17
"Spring","Dizaro",17
"Spring","Gabriel Antonio",17
"Spring","Lil Mosey",17
"Spring","Mr. Probz",17
"Spring","P-Lo",17
"Spring","Russ",17
"Spring","The Beach Boys",17
"Spring","Wallows",17
"Summer","Jethro Tull",17
"Summer","Jhene Aiko",17
"Summer","Lil Mosey",17
"Summer","Lorde",17
"Summer","Martin Garrix",17
"Summer","Rich The Kid",17
"Summer","Sunidhi Chauhan",17
"Summer","Veorra",17
"Winter","Ansel Elgort",17
"Winter","Halsey",17
"Winter","KYLE",17
"Winter","MGMT",17
"Fall","Absofacto",16
"Fall","David Bowie",16
"Fall","Gunna",16
"Fall","Janis Joplin",16
"Fall","Jean Dawson",16
"Fall","KISS",16
"Fall","Shankar Mahadevan",16
"Fall","Sub Urban",16
"Fall","YG",16
"Spring","2Pac",16
"Spring","ABBA",16
"Spring","Alan Walker",16
"Spring","Ice Cube",16
"Spring","Old Man Canyon",16
"Spring","Van Morrison",16
"Summer","Far East Movement",16
"Summer","Galantis",16
"Summer","Gotye",16
"Summer","PARTYNEXTDOOR",16
"Summer","Peter Green",16
"Summer","Tee Grizzley",16
"Summer","Tyga",16
"Summer","Vishal Dadlani",16
"Winter","24kGoldn",16
"Winter","42 Dugg",16
"Winter","Beach House",16
"Winter","Dizaro",16
"Winter","Eric Bellinger",16
"Winter","Eurythmics",16
"Winter","Far East Movement",16
"Winter","Iyaz",16
"Winter","Mac DeMarco",16
"Winter","Metro Boomin",16
"Winter","Olympic Ayres",16
"Winter","Owl City",16
"Winter","Zedd",16
"Fall","AJR",15
"Fall","Amine",15
"Fall","Country Joe & The Fish",15
"Fall","Johnny Winter",15
"Fall","Kris Wu",15
"Fall","Shawn Mendes",15
"Fall","Skrillex",15
"Fall","Sleepy Hallow",15
"Fall","The J. Geils Band",15
"Fall","The Lemonheads",15
"Spring","Arctic Monkeys",15
"Spring","Charlie Puth",15
"Spring","Declan McKenna",15
"Spring","Duke Ellington",15
"Spring","G-Eazy",15
"Spring","JACKBOYS",15
"Spring","Majid Jordan",15
