"SchoolPeriod","Artist","Plays"
"Sophomore-Junior Summer","keshi",6
"Sophomore-Junior Summer","lovelytheband",6
"10th Grade","Alex Goot",5
"10th Grade","Andy Rivera",5
"10th Grade","Anjulie",5
"10th Grade","Cardi B",5
"10th Grade","Craig David",5
"10th Grade","David Guetta",5
"10th Grade","Franco De Vita",5
"10th Grade","Fuse ODG",5
"10th Grade","Grace VanderWaal",5
"10th Grade","Gucci Mane",5
"10th Grade","Hailee Steinfeld",5
"10th Grade","Harrison Storm",5
"10th Grade","Hook N Sling",5
"10th Grade","JP Cooper",5
"10th Grade","Jacob Forever",5
"10th Grade","Justin Bieber",5
"10th Grade","Kiiara",5
"10th Grade","Machine Gun Kelly",5
"10th Grade","Matt Terry",5
"10th Grade","Nacho",5
"10th Grade","Nick Jonas",5
"10th Grade","OMI",5
"10th Grade","Olivia O'Brien",5
"10th Grade","Pitbull",5
"10th Grade","Ricky Martin",5
"10th Grade","The Mayries",5
"10th Grade","Tiwa Savage",5
"10th Grade","Travis Scott",5
"10th Grade","Trebol Clan",5
"10th Grade","Tritonal",5
"10th-11th Summer","Adele",5
"10th-11th Summer","Alec Benjamin",5
"10th-11th Summer","Alida",5
"10th-11th Summer","Angus & Julia Stone",5
"10th-11th Summer","Calvin Harris",5
"10th-11th Summer","DJ Khaled",5
"10th-11th Summer","GAMPER & DADONI",5
"10th-11th Summer","Ina Wroldsen",5
"10th-11th Summer","Jack Johnson",5
"10th-11th Summer","John Legend",5
"10th-11th Summer","Keala Settle",5
"10th-11th Summer","Morat",5
"10th-11th Summer","Rihanna",5
"10th-11th Summer","Russ",5
"10th-11th Summer","Zonoma",5
"11th Grade","Alesso",5
"11th Grade","Alex Goot",5
"11th Grade","Alexis Ffrench",5
"11th Grade","Alison Gilbert",5
"11th Grade","Amy Winehouse",5
"11th Grade","Billie Marten",5
"11th Grade","Black Eyed Peas",5
"11th Grade","Blak",5
"11th Grade","Camilo",5
"11th Grade","City Girls",5
"11th Grade","Cole Albrighton",5
"11th Grade","Dan Talevski",5
"11th Grade","David Archuleta",5
"11th Grade","DeJ Loaf",5
"11th Grade","Delayde",5
"11th Grade","Dizzy",5
"11th Grade","FLETCHER",5
"11th Grade","FRENSHIP",5
"11th Grade","Flatbush Zombies",5
"11th Grade","Gadiel",5
"11th Grade","H.E.R.",5
"11th Grade","Hanz",5
"11th Grade","Henry Jamison",5
"11th Grade","Hugo Helmig",5
"11th Grade","Hyperparadise",5
"11th Grade","Indila",5
"11th Grade","Isaiah Firebrace",5
"11th Grade","Ivy Adara",5
"11th Grade","JJ Heller",5
"11th Grade","Jain",5
"11th Grade","James Smith",5
"11th Grade","Jon Bellion",5
"11th Grade","Kavv",5
"11th Grade","Kiana Lede",5
"11th Grade","Lauren Daigle",5
"11th Grade","Lazy Weekends",5
"11th Grade","Leona Lewis",5
"11th Grade","Luke Christopher",5
"11th Grade","MEDUZA",5
"11th Grade","MO",5
"11th Grade","Macklemore & Ryan Lewis",5
"11th Grade","Mahalia",5
"11th Grade","Mark Ronson",5
"11th Grade","Matt Terry",5
"11th Grade","Maugre",5
"11th Grade","Meghan Trainor",5
"11th Grade","Mike Bahia",5
"11th Grade","Mike WiLL Made-It",5
"11th Grade","Noah Cyrus",5
"11th Grade","Nymano",5
"11th Grade","Ollie Morris",5
"11th Grade","SYDE",5
"11th Grade","SZA",5
"11th Grade","Sander W.",5
"11th Grade","Shreya Ghoshal",5
"11th Grade","Sinead Harnett",5
"11th Grade","Steve Void",5
"11th Grade","Syndrome",5
"11th Grade","Taylor Swift",5
"11th Grade","The PropheC",5
"11th Grade","The Vamps",5
"11th Grade","Tyga",5
"11th Grade","aqualina",5
"11th Grade","gianni & kyle",5
"11th Grade","invention_",5
"11th Grade","yonderling",5
"11th-12th Summer","6LACK",5
"11th-12th Summer","Alessia Cara",5
"11th-12th Summer","Angelo De Augustine",5
"11th-12th Summer","Arijit Singh",5
"11th-12th Summer","Bad Bunny",5
"11th-12th Summer","Becca",5
"11th-12th Summer","Benette",5
"11th-12th Summer","Big Sean",5
"11th-12th Summer","Bryce Vine",5
"11th-12th Summer","Calvin Harris",5
"11th-12th Summer","Carl Borg",5
"11th-12th Summer","Chaima Bergevoet",5
"11th-12th Summer","Chris Brown",5
"11th-12th Summer","DVBBS",5
"11th-12th Summer","Dimitri Vegas & Like Mike",5
"11th-12th Summer","Empty Space",5
"11th-12th Summer","Enno Aare",5
"11th-12th Summer","Etheral Gust",5
"11th-12th Summer","Finding Hope",5
"11th-12th Summer","Floriscope",5
"11th-12th Summer","Frank Ocean",5
