"Year","Artist","Plays"
"2022","Jonas Blue",24
"2022","Lorde",24
"2022","Luis Fonsi",24
"2022","Noah Kahan",24
"2022","PARTYNEXTDOOR",24
"2022","Peach Tree Rascals",24
"2022","Pedro Capo",24
"2022","Smino",24
"2018","Alvaro Soler",23
"2018","Ariana Grande",23
"2018","Bruno Mars",23
"2018","JONES",23
"2018","Jack Johnson",23
"2018","John Adams",23
"2018","OneRepublic",23
"2019","Anne-Marie",23
"2019","Ashe",23
"2019","BoTalks",23
"2019","Charles Bolt",23
"2019","Ebb & Flod",23
"2019","Fuse ODG",23
"2019","Lil Dicky",23
"2019","Lorenzo De Lima",23
"2019","Lostboycrow",23
"2019","Moon Laika",23
"2019","Noah Cyrus",23
"2019","SAINt JHN",23
"2019","Thomas Newman",23
"2020","Ajay Stephens",23
"2020","Alexander 23",23
"2020","Beyond The Bubble",23
"2020","Black Eyed Peas",23
"2020","Borgeous",23
"2020","Cooper Sams",23
"2020","Drum Chief",23
"2020","Elsa Greeve",23
"2020","Flume",23
"2020","John K",23
"2020","KIDS SEE GHOSTS",23
"2020","Maggie Lindemann",23
"2020","Mayol",23
"2020","Pim Miles",23
"2020","Samira Tesfay",23
"2020","Sheppard",23
"2020","Sleep Lab",23
"2020","The Neighbourhood",23
"2021","Ali Gatie",23
"2021","Choker",23
"2021","JP Cooper",23
"2021","NURKO",23
"2021","Social House",23
"2021","Tom Misch",23
"2021","Trippie Redd",23
"2021","benny blanco",23
"2022","Bruno Mars",23
"2022","DESTIN CONRAD",23
"2022","Imagine Dragons",23
"2022","Old Sea Brigade",23
"2022","PRETTYMUCH",23
"2022","Surfaces",23
"2022","Taylor Swift",23
"2022","Tory Lanez",23
"2016","Nicky Jam",22
"2017","Luis Fonsi",22
"2018","2CELLOS",22
"2018","Bebe Rexha",22
"2018","Chelsea Cutler",22
"2018","Maisie Peters",22
"2018","Maroon 5",22
"2018","T-Pain",22
"2018","Why Don't We",22
"2019","Camila Cabello",22
"2019","Dan + Shay",22
"2019","Dream Runner",22
"2019","Jain",22
"2019","Kina Grannis",22
"2019","Kollegah",22
"2019","Naturally Recurring",22
"2019","Novo Talos",22
"2019","xerLK",22
"2020","American Authors",22
"2020","Callisto Mazzi",22
"2020","Chieloka",22
"2020","DaBaby",22
"2020","Efectos",22
"2020","Elevie J",22
"2020","Epic Centre",22
"2020","Ferdinando Zetticci",22
"2020","Havanna Chandri",22
"2020","JAY-Z",22
"2020","JP Saxe",22
"2020","Jasleen Royal",22
"2020","Jupiter Grains",22
"2020","MVS",22
"2020","Masala Roo",22
"2020","Peter Manos",22
"2020","Regina Mira",22
"2020","The Chainsmokers",22
"2020","Vaclav Slezak",22
"2020","Verzache",22
"2020","Yolta",22
"2021","Alicia Keys",22
"2021","BAYNK",22
"2021","Bryson Tiller",22
"2021","Cautious Clay",22
"2021","Ella Mai",22
"2021","Grant",22
"2021","Imagine Dragons",22
"2021","J Balvin",22
"2021","Kota the Friend",22
"2021","Maite Perroni",22
"2021","Peach Tree Rascals",22
"2021","Takagi & Ketra",22
"2021","Vishal Dadlani",22
"2022","Alec Benjamin",22
"2022","Ali Gatie",22
"2022","Alpha Brain Waves",22
"2022","Attom",22
"2022","Blxst",22
"2022","Bryce Vine",22
"2022","Gym Class Heroes",22
"2022","Jason Mraz",22
"2022","Ki:Theory",22
"2022","Noah Cyrus",22
"2022","Ruel",22
"2018","A R I Z O N A",21
"2018","Finding Hope",21
"2018","HAEVN",21
"2018","JP Cooper",21
"2018","Jonas Blue",21
"2018","The Spacies",21
"2019","Chris Brown",21
"2019","Claes Nilsson",21
"2019","Gradur",21
"2019","Harold Budd",21
"2019","Hozier",21
"2019","Justin Bieber",21
"2019","MVS",21
"2019","Maes",21
"2019","Marnik",21
"2019","Matter and Energy",21
"2019","Max Richter",21
"2019","Said The Sky",21
"2019","Ski Mask The Slump God",21
"2019","Soprano",21
"2019","Tyler Ward",21
"2019","benny blanco",21
"2020","21 Savage",21
"2020","Conkarah",21
"2020","Dennis Kruissen",21
"2020","Don Mazuck",21
"2020","Elise Ryen",21
"2020","Enlightment Spirits",21
"2020","Eva Slott",21
"2020","Julia Michaels",21
"2020","Miguel",21
"2020","Nico Segal",21
"2020","ROLE MODEL",21
"2020","Shallou",21
"2020","Starry Girl",21
"2020","Steven Goldmund",21
"2020","Tame Impala",21
"2020","Tine Mydland",21
"2020","Trippie Redd",21
"2020","Voyager",21
"2021","AJ Mitchell",21
"2021","Brent Faiyaz",21
"2021","Calum Scott",21
"2021","Emanuel",21
"2021","Emotional Oranges",21
"2021","Idealism",21
"2021","J. Cole",21
