"Person","Type","ID","Split","Val"
"AK","Top Songs July 2017","5lfJbJonCCFZgmUlf4r7kz","monthyear","2017-07"
"AK","Top Songs August 2017","2fjNlKWIGVjztGNtuRmtWP","monthyear","2017-08"
"AK","Top Songs September 2017","23LAOta2n29366X6Ckiuwq","monthyear","2017-09"
"AK","Top Songs October 2017","71JydYb9nKddzBmUgYvuPH","monthyear","2017-10"
"AK","Top Songs November 2017","1lHEkklVSzRhK80X05CriH","monthyear","2017-11"
"AK","Top Songs December 2017","6zyjBf3gvUSFb9hzWW2J2U","monthyear","2017-12"
"AK","Top Songs January 2018","5mthbWrHILEzP1XqylbGDV","monthyear","2018-01"
"AK","Top Songs February 2018","5r0dTI9OWQ3xtJCYDCDiJD","monthyear","2018-02"
"AK","Top Songs March 2018","0CpgIRLj6y40misMFFkX7A","monthyear","2018-03"
"AK","Top Songs April 2018","1HCRezQgVYT8hyT8JiRo5d","monthyear","2018-04"
"AK","Top Songs May 2018","6592LVJRP6PvD1K0rw3qm8","monthyear","2018-05"
"AK","Top Songs June 2018","4ybWvxJIBmllUUJSnXqGQS","monthyear","2018-06"
"AK","Top Songs July 2018","6dimd0YXLsRu86i3ZN9kbY","monthyear","2018-07"
"AK","Top Songs August 2018","5tRD0YRIiuuzwAdPPFMMRu","monthyear","2018-08"
"AK","Top Songs September 2018","1iDTgVHoU6sBXDfWGNazc1","monthyear","2018-09"
"AK","Top Songs October 2018","3BPj4LaOglFu0Dp1ndoHOe","monthyear","2018-10"
"AK","Top Songs November 2018","4wx7SB965Po2N9D7xXTwik","monthyear","2018-11"
"AK","Top Songs December 2018","7DkTFZ2e7bUlSGON2xYy5v","monthyear","2018-12"
"AK","Top Songs January 2019","5EclR5AKiJ4XtVJH6izk5Z","monthyear","2019-01"
"AK","Top Songs February 2019","0xUMrdTug0D08jQzMKJZ5N","monthyear","2019-02"
"AK","Top Songs March 2019","47GzIF5dx0gmQoEpzvFETS","monthyear","2019-03"
"AK","Top Songs April 2019","3OTjhZkTbyjbtI6vIXfBOd","monthyear","2019-04"
"AK","Top Songs May 2019","7l7MF5XMPSurTmFQ0m2B5G","monthyear","2019-05"
"AK","Top Songs June 2019","4ZyynUo7OYJq4crbtQwtwA","monthyear","2019-06"
"AK","Top Songs July 2019","3cdvj4vZYMBqooBLEWkrZ3","monthyear","2019-07"
"AK","Top Songs August 2019","46s6UlG26ovgaYbGHiEZRE","monthyear","2019-08"
"AK","Top Songs September 2019","51lY9dffilUnvte7KbGlmo","monthyear","2019-09"
"AK","Top Songs October 2019","0knAKl7z66ucx3wqkUoTt9","monthyear","2019-10"
"AK","Top Songs November 2019","6iyrea42OWzgyfuw9OWovf","monthyear","2019-11"
"AK","Top Songs December 2019","2fmNKMgAeeijyxYNOP3dPT","monthyear","2019-12"
"AK","Top Songs January 2020","0ghY4XTAC0UOoBVeHnfs3j","monthyear","2020-01"
"AK","Top Songs February 2020","4U0UK9uj14iOyvxYtSLpVm","monthyear","2020-02"
"AK","Top Songs March 2020","7rc92qdi4dQCvDhHd3jfZi","monthyear","2020-03"
"AK","Top Songs April 2020","4107at50MBRoVkgYN4sGuL","monthyear","2020-04"
"AK","Top Songs May 2020","0waX6nFx2XjxkcmEpxelwj","monthyear","2020-05"
"AK","Top Songs June 2020","6CskV8MyDDOYTrC0nUPpOG","monthyear","2020-06"
"AK","Top Songs July 2020","0AiDKvhAuJritLwwzbDGyN","monthyear","2020-07"
"AK","Top Songs August 2020","0SuDriVFMxtlh5ysHveJ7S","monthyear","2020-08"
"AK","Top Songs September 2020","625Riixys1B1Ruji3Evp74","monthyear","2020-09"
"AK","Top Songs October 2020","2RqcLKBy4QV8ENEuhx14Ok","monthyear","2020-10"
"AK","Top Songs November 2020","1jd96hgyGPidVo6tzNBHqr","monthyear","2020-11"
"AK","Top Songs December 2020","6Lma3ncNwrgKnz9hL4wbid","monthyear","2020-12"
"AK","Top Songs January 2021","6QD2uiiTjOe03NiP0cRncq","monthyear","2021-01"
"AK","Top Songs February 2021","1tnXrB4TsnRuIKjHCvc0DW","monthyear","2021-02"
"AK","Top Songs March 2021","0hwEQae9ILp2VgDy8nIVWh","monthyear","2021-03"
"AK","Top Songs April 2021","03KcYKFEj2Et04EvNNxLYP","monthyear","2021-04"
"AK","Top Songs May 2021","2vVmDtfsuzkAzrgKYH5gTL","monthyear","2021-05"
"AK","Top Songs June 2021","7zCy4GWuWzXm5HDy00aKOy","monthyear","2021-06"
"AK","Top Songs July 2021","7wo2Y741DajvodFv6L7tBP","monthyear","2021-07"
"AK","Top Songs August 2021","3Hmoa2trHonZaDcwRXifxL","monthyear","2021-08"
"AK","Top Songs September 2021","0fGmeyk2TFiKE0fGkHXuHj","monthyear","2021-09"
"AK","Top Songs October 2021","79U5uQPrgL8poA90Ud25g0","monthyear","2021-10"
"AK","Top Songs November 2021","7KRoCwn1rMDJR8vErRicIj","monthyear","2021-11"
"AK","Top Songs December 2021","23MzkfRkUd2z8Y7GDyS49K","monthyear","2021-12"
"AK","Top Songs January 2022","6jX6FJ62kOkMOIhvFG7aX4","monthyear","2022-01"
"AK","Top Songs February 2022","3gbAIfp7qx5jiZWuETybgk","monthyear","2022-02"
"AK","Top Songs March 2022","6SPRdyahfhvk9YqOEIUIOl","monthyear","2022-03"
"AK","Top Songs April 2022","4CkjtMG6hH4rWd9BEQdPhU","monthyear","2022-04"
"AK","Top Songs May 2022","6iDzYU2852NAlR18hZabRL","monthyear","2022-05"
"AK","Top Songs June 2022","5m8nsiVYMrg97OLZZL0Mc9","monthyear","2022-06"
"AK","Top Songs July 2022","7dyHSnxPlUkDDeDSCP8y5M","monthyear","2022-07"
"AK","Top Songs August 2022","6dCVXAsaPWgtZOCEINmIvk","monthyear","2022-08"
"AK","Top Songs September 2022","0evTTLGJQ1dzaF5KAzAZwU","monthyear","2022-09"
"AK","Top Songs October 2022","7oF2VaxN3c0XVLvdsenUvR","monthyear","2022-10"
"AK","Top Songs November 2022","2Ukex6xLvusEw391iSnvdW","monthyear","2022-11"
"AK","Top Songs December 2022","74CEUXKQLolvDHm2rHkBhV","monthyear","2022-12"
"DM","Top Songs January 2016","2dT9rPw6YGlSoFQZYf3prs","monthyear","2016-01"
"DM","Top Songs February 2016","3a5AgHSWiqXNN7bC97rczf","monthyear","2016-02"
"DM","Top Songs March 2016","2qhIh9cLQl3NVAgvaOu9XM","monthyear","2016-03"
"DM","Top Songs April 2016","1oLH7PpyUauVzXeswYPwyZ","monthyear","2016-04"
"DM","Top Songs May 2016","3zsZLv5STg7JY5P8qod5Cq","monthyear","2016-05"
"DM","Top Songs June 2016","2DRQgrOqvYJXZJMJ80JzGe","monthyear","2016-06"
"DM","Top Songs July 2016","1GkVdexBl6nWR49bAja1y3","monthyear","2016-07"
"DM","Top Songs August 2016","3Bktqf05n0hX2zRMFP6Q9u","monthyear","2016-08"
"DM","Top Songs September 2016","3Yhc3ABIxMJddvRYH8WRgI","monthyear","2016-09"
"DM","Top Songs October 2016","7yCYMRQipbvO1JA8XyLkE7","monthyear","2016-10"
"DM","Top Songs November 2016","4ggnWRv0bE0MutNX0t889V","monthyear","2016-11"
"DM","Top Songs December 2016","5u5hcENsAsrxmKIONpZ5pn","monthyear","2016-12"
"DM","Top Songs January 2017","684Fg7GfQqUVWS9ncgPaSy","monthyear","2017-01"
"DM","Top Songs February 2017","43IXYhv8gWhdYvXD3LIIt7","monthyear","2017-02"
"DM","Top Songs March 2017","1jkn71HwLc60kggMC9rRsr","monthyear","2017-03"
"DM","Top Songs April 2017","1HpBLuGoyBFSVqBLXAWpEH","monthyear","2017-04"
"DM","Top Songs May 2017","6Ja2XsXEFqkdNfbp43WLrj","monthyear","2017-05"
"DM","Top Songs June 2017","5IyTZ6tG8CdySz4wQzUGsJ","monthyear","2017-06"
"DM","Top Songs July 2017","5doEmS7fWvSQYNLuQtmDxK","monthyear","2017-07"
"DM","Top Songs August 2017","4aWNRAyYAVqcGXZS23qVvE","monthyear","2017-08"
"DM","Top Songs September 2017","0AzBCzwOWr7Y54y4OMkoMi","monthyear","2017-09"
"DM","Top Songs October 2017","1cAZIJgasM91BEdWh4oy2r","monthyear","2017-10"
"DM","Top Songs November 2017","7urYb1PW3NkQd1qMDaRvuY","monthyear","2017-11"
"DM","Top Songs December 2017","53cxtkkHKZUCTKzCjZ5pwN","monthyear","2017-12"
"DM","Top Songs January 2018","7imFfy5e2tx15uLplqcdrt","monthyear","2018-01"
"DM","Top Songs February 2018","6urYTe1gT6Vx5ySIfd8UP3","monthyear","2018-02"
"DM","Top Songs March 2018","2gvttw9satzQNUlCAZZ0my","monthyear","2018-03"
"DM","Top Songs April 2018","4joLxmAzOhS1nXb7CZe2uj","monthyear","2018-04"
"DM","Top Songs May 2018","15HlQnhF1ZLLpxkjaZdVcY","monthyear","2018-05"
"DM","Top Songs June 2018","7Ce5qjn8dKD1FXXEgG2hwf","monthyear","2018-06"
"DM","Top Songs July 2018","1ijLpuymQKHaU9QuC9MOUk","monthyear","2018-07"
"DM","Top Songs August 2018","64vVyo6vK492dHQOU5EqAH","monthyear","2018-08"
"DM","Top Songs September 2018","5MXsv2l5OkvQv3efzABv2s","monthyear","2018-09"
"DM","Top Songs October 2018","4EdXQ8exYv3587a3OXZP9A","monthyear","2018-10"
"DM","Top Songs November 2018","1x5ERkJ8Edh5yf6g9u6a59","monthyear","2018-11"
"DM","Top Songs December 2018","0DIwNFeFdrKgjWPUSqzzSM","monthyear","2018-12"
"DM","Top Songs January 2019","673AhlLyOv4g93FXJT4MQg","monthyear","2019-01"
"DM","Top Songs February 2019","127xXtF9cxLYOzSfnNOGhk","monthyear","2019-02"
"DM","Top Songs March 2019","5k7isR2kKJWIKUYyNnyE50","monthyear","2019-03"
"DM","Top Songs April 2019","0EUJ9EaRktKIGE77yhvibH","monthyear","2019-04"
"DM","Top Songs May 2019","7vmqhNl2eGUyvCqvPL3Klw","monthyear","2019-05"
"DM","Top Songs June 2019","256cEbaKEFaAufFXpIbpZW","monthyear","2019-06"
"DM","Top Songs July 2019","1vCIcLJEYghkbKX5Cm8YvU","monthyear","2019-07"
"DM","Top Songs August 2019","0PGgU9dcwFX86GmIi7XTJV","monthyear","2019-08"
"DM","Top Songs September 2019","2MTRKa5x4E0NSBo5jhXUle","monthyear","2019-09"
"DM","Top Songs October 2019","7I35Wo2DM2yoYOx0Tjqg2q","monthyear","2019-10"
"DM","Top Songs November 2019","5jbg2ERxIUk83T6cSTkrE1","monthyear","2019-11"
"DM","Top Songs December 2019","6edSYQQhIQX2E59eF2GmJb","monthyear","2019-12"
"DM","Top Songs January 2020","480GUUf9RPnlR2XTnsDQs4","monthyear","2020-01"
"DM","Top Songs February 2020","6fjCTbVN8X7fEX4n88bkGh","monthyear","2020-02"
"DM","Top Songs March 2020","2vSHusLvCaU4ZSJOQ3cArA","monthyear","2020-03"
"DM","Top Songs April 2020","4hzmn67O0edSV1wLboEvA7","monthyear","2020-04"
"DM","Top Songs May 2020","5BpTym0csX2LetlwuMRWTf","monthyear","2020-05"
"DM","Top Songs June 2020","3lh6K3hdHRlX4pavX4H5f7","monthyear","2020-06"
"DM","Top Songs July 2020","3wZhMX7LnCtqUuEDjDprX0","monthyear","2020-07"
"DM","Top Songs August 2020","5cn2eQfRzrdxXVyxy8gJ2Q","monthyear","2020-08"
"DM","Top Songs September 2020","4J1GY9XgClCkMkYgw1E6p5","monthyear","2020-09"
"DM","Top Songs October 2020","600tgrIxyRR1WTCrboI08G","monthyear","2020-10"
"DM","Top Songs November 2020","17xqsnSTJfnYXxso7OlfP4","monthyear","2020-11"
"DM","Top Songs December 2020","5KVbcP2J91cfvCPZvOtZuJ","monthyear","2020-12"
"DM","Top Songs January 2021","3AloKjNQIk6V5qg8jLQch9","monthyear","2021-01"
"DM","Top Songs February 2021","1zh4T6r3I0fNS6eXEZB2NG","monthyear","2021-02"
"DM","Top Songs March 2021","72JOwyp1LMUUaZmfVrS0fD","monthyear","2021-03"
"DM","Top Songs April 2021","45GBhtVLMlOC2zKP6CLenI","monthyear","2021-04"
"DM","Top Songs May 2021","16YgBTpkRYm6P8MoLnr2EX","monthyear","2021-05"
"DM","Top Songs June 2021","5bNgyhhShCDmo13Azn1Ltf","monthyear","2021-06"
"DM","Top Songs July 2021","54OQaiBetUg9yCvgNtrrv4","monthyear","2021-07"
"DM","Top Songs August 2021","6P4dCso6QODs5aoRYhXy3k","monthyear","2021-08"
"DM","Top Songs September 2021","5OG6F9KFl74th2WyvOty1C","monthyear","2021-09"
"DM","Top Songs October 2021","4o0FIyZ4MQavfzI6ZyyjQ7","monthyear","2021-10"
"DM","Top Songs November 2021","6kr9AsTlbdw9YDXJRSAelp","monthyear","2021-11"
"DM","Top Songs December 2021","7g8jyQZCLx9GUpCy7y1lvb","monthyear","2021-12"
"DM","Top Songs January 2022","2Kh9TXy320FdOqmYNKEmSg","monthyear","2022-01"
"DM","Top Songs February 2022","0LzgVSdaCIeCg6U3xmljrT","monthyear","2022-02"
"DM","Top Songs March 2022","7cdXphEcDr4KxEJM0i85KB","monthyear","2022-03"
"DM","Top Songs April 2022","4JNE9xSPXzdXHHTkc4LH9w","monthyear","2022-04"
"DM","Top Songs May 2022","6oZEvKAH31nFO4P9M49pEk","monthyear","2022-05"
"DM","Top Songs June 2022","0zLS1SNDe0lv0pO7fjombq","monthyear","2022-06"
"DM","Top Songs July 2022","0zv793iY52LYNIkpdAM96z","monthyear","2022-07"
"DM","Top Songs August 2022","2zcUbzXsZFGVFM78EelDB5","monthyear","2022-08"
"DM","Top Songs September 2022","1LP7OeCDlyQe9M846Q3Jvu","monthyear","2022-09"
"DM","Top Songs October 2022","3p7Mivg5XloO4GMXBoKPXk","monthyear","2022-10"
"DM","Top Songs November 2022","2uhGswC7ZDnqp7yR3sDFVZ","monthyear","2022-11"
"DM","Top Songs December 2022","4y6OX4K0Ox2tBhCRtjxLWO","monthyear","2022-12"
"AN","Top Songs 8th-9th Summer","5qdLuxMNm68b9n1ehqoVhw","schoolperiod","8th-9th Summer"
"AN","Top Songs 9th Grade","4XT4CsoypFNoA2wJQc2Vtj","schoolperiod","9th Grade"
