"Album","Plays","Songs","Artist","First Listen","Plays Per Song"
"Dragon Energy",49,11,"Blaccmass","2020-11-26",4.45454545454545
"Encore",49,1,"Eminem","2017-09-11",49
"LAST CHRISTMAS",49,1,"Wham!","2019-11-20",49
"Or Nah (feat. The Weeknd, Wiz Khalifa & DJ Mustard) [Remix]",49,1,"Ty Dolla $ign","2018-06-24",49
"Pronounced' Leh-'Nerd 'Skin-'Nerd",49,3,"Lynyrd Skynyrd","2018-11-28",16.3333333333333
"Rise Of An Empire",49,1,"Young Money","2017-07-21",49
"Summer Pack",49,2,"Childish Gambino","2018-07-11",24.5
"Complementary Colors",48,1,"Halsey","2020-09-22",48
"FUTURE",48,3,"Future","2017-03-27",16
"Outlandos D'Amour",48,2,"The Police","2019-01-29",24
"Pray for the Wicked",48,1,"Panic! At The Disco","2019-10-14",48
"The Heart Part 4",48,1,"Kendrick Lamar","2017-06-22",48
"Back To Back",47,1,"Drake","2017-07-28",47
"Depression Cherry",47,9,"Beach House","2022-01-07",5.22222222222222
"News Of The World",47,3,"Queen","2017-10-16",15.6666666666667
"Nowhere To Run",47,1,"Ryan Trey","2020-01-02",47
"Pack Up The Plantation: Live!",47,16,"Tom Petty and the Heartbreakers","2021-02-13",2.9375
"American Idiot - The Original Broadway Cast Recording",46,1,"Green Day","2017-10-10",46
"Feels (feat. Pharrell Williams, Katy Perry & Big Sean)",46,1,"Calvin Harris","2017-07-04",46
"Hurry Up, We're Dreaming",46,1,"M83","2021-02-15",46
"Moment (feat. Wiz Khalifa)",46,1,"KYLE","2019-01-10",46
"Replay",46,1,"Iyaz","2018-02-09",46
"Ruby",46,3,"Veorra","2020-09-22",15.3333333333333
"Stay",46,1,"Zedd","2017-08-12",46
"Tremaine the Album",46,1,"Trey Songz","2017-06-09",46
"hot girl bummer",46,1,"blackbear","2019-09-22",46
"B.o.B Presents: The Adventures of Bobby Ray",45,3,"B.o.B","2020-08-29",15
"FRIENDS KEEP SECRETS",45,2,"benny blanco","2019-06-21",22.5
"From The D To The A (feat. Lil Yachty)",45,1,"Tee Grizzley","2018-04-20",45
"Guillotine",45,1,"Jon Bellion","2016-04-24",45
"If You Can Believe Your Eyes & Ears",45,1,"The Mamas & The Papas","2020-11-14",45
"Mylo Xyloto",45,1,"Coldplay","2017-09-02",45
"Queen",45,4,"Nicki Minaj","2018-08-10",11.25
"Somebody",45,1,"Internet Money","2016-04-21",45
"Stranger In Town",45,1,"Bob Seger","2020-03-06",45
"The Midsummer Station",45,1,"Owl City","2019-06-21",45
"2",44,1,"Mac DeMarco","2021-07-28",44
"Blowin' Your Mind!",44,1,"Van Morrison","2021-03-14",44
"Emerald",44,2,"Veorra","2020-09-20",22
"Rang De Basanti (Original Motion Picture Soundtrack)",44,1,"A.R. Rahman","2019-07-05",44
"Voulez-Vous",44,1,"ABBA","2019-01-22",44
"3 Idiots",43,4,"Sonu Nigam","2019-04-24",10.75
"B4.DA.$$",43,6,"Joey Bada$$","2019-01-05",7.16666666666667
"Hold You Down (feat. GNRA)",43,1,"Deraj","2018-07-31",43
"K.I.D.S.",43,5,"Mac Miller","2021-01-11",8.6
"WHO CARES?",43,11,"Rex Orange County","2022-05-24",3.90909090909091
"Waterloo",43,1,"ABBA","2019-01-15",43
"Big Fish Theory",42,3,"Vince Staples","2017-12-04",14
"Bigger Than Both Of Us",42,1,"Daryl Hall & John Oates","2020-05-16",42
"Carnival",42,1,"Bryce Vine","2021-02-11",42
"Good Girl Gone Bad: Reloaded",42,4,"Rihanna","2020-01-14",10.5
"MUDBOY",42,1,"Sheck Wes","2018-10-12",42
"Magical Mystery Tour",42,4,"The Beatles","2017-09-02",10.5
"Making Mirrors",42,1,"Gotye","2020-08-17",42
"Pharmacy",42,1,"Galantis","2021-02-15",42
"Picture Show",42,1,"Neon Trees","2021-03-15",42
"Scary Hours",42,2,"Drake","2018-01-22",21
"The Miseducation of Lauryn Hill",42,2,"Ms. Lauryn Hill","2022-05-12",21
"The World Is Yours",42,2,"Rich The Kid","2018-04-20",21
"A Hard Day's Night",41,2,"The Beatles","2018-12-01",20.5
"Hello",41,2,"Adele","2017-09-07",20.5
"It's A Shame About Ray",41,1,"The Lemonheads","2019-08-30",41
"Silence",41,1,"Marshmello","2017-09-11",41
"18 Months",40,4,"Calvin Harris","2016-04-30",10
"Appetite For Destruction",40,2,"Guns N' Roses","2017-10-15",20
"G Walk (with Chris Brown)",40,1,"Lil Mosey","2019-08-17",40
"Good For You",40,3,"Amine","2017-10-23",13.3333333333333
"MIDDLE CHILD",40,1,"J. Cole","2019-01-24",40
"NOVA",40,1,"RL Grime","2020-04-04",40
"No Idea",40,2,"Don Toliver","2019-09-10",20
"Sadnecessary",40,1,"Milky Chance","2021-06-23",40
"Sweet Dreams (Are Made Of This)",40,1,"Eurythmics","2018-02-15",40
"The Marshall Mathers LP2",40,2,"Eminem","2017-07-17",20
"Artist 2.0",39,2,"A Boogie Wit da Hoodie","2020-02-28",19.5
"BUTTERFLY EFFECT",39,1,"Travis Scott","2017-08-24",39
"Best Friend",39,1,"Rex Orange County","2019-01-23",39
"GEMINI",39,1,"Macklemore","2017-10-07",39
"I AM...SASHA FIERCE",39,1,"Beyonce","2018-05-04",39
