"Artist","Album","Songs","Plays Per Song"
"Adele","Hello",2,20.5
"Calvin Harris","18 Months",4,10
"Guns N' Roses","Appetite For Destruction",2,20
"Amine","Good For You",3,13.3333333333333
"Don Toliver","No Idea",2,20
"Eminem","The Marshall Mathers LP2",2,20
"A Boogie Wit da Hoodie","Artist 2.0",2,19.5
"Hippo Campus","Landmark",6,6.5
"NF","Perception",2,19.5
"Drake","Scary Hours 2",3,13
"Bruno Mars","24K Magic",3,12.6666666666667
"Gunna","Drip Season 3",3,12.6666666666667
"The Neighbourhood","I Love You.",2,19
"DJ Khaled","KHALED KHALED",4,9.5
"Drake","Care Package",9,4.11111111111111
"A$AP Mob","Cozy Tapes Vol. 2: Too Cozy",2,18.5
"Dayglow","Fuzzybrain",4,9.25
"Yung Gravy","Sensational",13,2.84615384615385
"Russ","There's Really A Wolf",3,12.3333333333333
"6LACK","FREE 6LACK",5,7.2
"OneRepublic","Oh My My",2,18
"Young Stoner Life","Slime Language 2",11,3.27272727272727
"The Police","Synchronicity",2,18
"David Bowie","Best of Bowie",18,1.94444444444444
"The Weeknd","Dawn FM",6,5.83333333333333
"Thundercat","Drunk",21,1.66666666666667
"Brent Faiyaz","Fuck The World",5,7
"ScHoolboy Q","Oxymoron",5,7
"JACKBOYS","JACKBOYS",4,8.5
"SZA","SOS",20,1.7
"Shawn Mendes","Illuminate",2,16
"Eminem","Music To Be Murdered By",19,1.68421052631579
"Imagine Dragons","Night Visions",2,16
"21 Savage","SAVAGE MODE II",3,10.6666666666667
"GROUPLOVE","Spreading Rumours",2,16
"Mac Miller","The Divine Feminine",4,8
"Eminem","Curtain Call: The Hits",5,6.2
"Metro Boomin","HEROES & VILLAINS",15,2.06666666666667
"Brent Faiyaz","Sonder Son",7,4.42857142857143
"The Who","Tommy",17,1.82352941176471
"Meek Mill","Dreams and Nightmares",2,15
"Justin Timberlake","FutureSex/LoveSounds Deluxe Edition",2,15
"Chris Brown","Slime & B",2,15
"A$AP Rocky","TESTING",6,5
"Logic","The Incredible True Story",6,5
"blackbear","cybersex",2,15
"Miguel","All I Want Is You",3,9.66666666666667
"Jason Derulo","Colors",3,9.66666666666667
"Famous Dex","Dex Meets Dexter",2,14.5
"Meek Mill","Dreams Worth More Than Money",3,9.66666666666667
"24kGoldn","El Dorado",7,4.14285714285714
"Dua Lipa","Future Nostalgia",3,9.66666666666667
"Lil Tecca","Ransom",2,14.5
"Lil Wayne","Tha Carter III",3,9.66666666666667
"Kid Cudi","The Boy Who Flew To The Moon",10,2.9
"J. Cole","The Off-Season",11,2.63636363636364
"Traffic","Traffic",15,1.93333333333333
"Aries","WELCOME HOME",5,5.8
"whiterosemoxie","white ceilings",14,2.07142857142857
"Joey Bada$$","2000",16,1.75
"ABBA","Arrival",2,14
"Aries","BELIEVE IN ME, WHO BELIEVES IN YOU",6,4.66666666666667
"Big Sean","Dark Sky Paradise",3,9.33333333333333
"Ed Sheeran","Divide",2,14
"Roddy Ricch","LIVE LIFE FAST",17,1.64705882352941
"Kiiara","low kii savage",6,4.66666666666667
"Trippie Redd","A Love Letter To You 3",2,13.5
"Eric Bellinger","Eric B for President: Term 1",2,13.5
"Drake","Honestly, Nevermind",14,1.92857142857143
"Thin Lizzy","Jailbreak",2,13.5
"Hippo Campus","LP3",10,2.7
"Lil Nas X","Old Town Road",3,9
"Cage The Elephant","Tell Me I'm Pretty",8,3.375
"2Pac","All Eyez On Me",2,13
"One Direction","FOUR",2,13
"Don Toliver","Life of a DON",13,2
"Nirvana","Nevermind",4,6.5
"BROCKHAMPTON","SATURATION III",2,13
"Jaden","SYRE",2,13
"Yung Gravy","Snow Cougar",4,6.5
"Taylor Swift","1989",3,8.33333333333333
"Dominic Fike","Don't Forget About Me, Demos",4,6.25
"Roddy Ricch","Feed Tha Streets II",2,12.5
"ZAYN","Fifty Shades Darker",2,12.5
"Khalid","Free Spirit",5,5
"The Killers","Hot Fuss",2,12.5
"Doja Cat","Planet Her",2,12.5
"Foo Fighters","Sonic Highways",2,12.5
"Khalid","Suncity",3,8.33333333333333
"Logic","YSIV",12,2.08333333333333
"Elton John","Goodbye Yellow Brick Road",2,12
"Jimi Hendrix","Live at Woodstock",16,1.5
"Rae Sremmurd","SremmLife 2",2,12
"Jimi Hendrix","Axis: Bold As Love",13,1.76923076923077
"Blaccmass","Days B4 da Fame",9,2.55555555555556
"Polo G","Hall of Fame",4,5.75
"One Direction","Made In The A.M.",2,11.5
"Lil Nas X","Panini",2,11.5
"whiterosemoxie","TROJAN",3,7.66666666666667
"Pink Floyd","The Dark Side of the Moon",3,7.66666666666667
"The Velvet Underground","The Velvet Underground & Nico 45th Anniversary",11,2.09090909090909
"Yusuf / Cat Stevens","The Very Best Of Cat Stevens",17,1.35294117647059
"Marvin Gaye","United",4,5.75
"Drake","Certified Lover Boy",11,2
"Kid Cudi","Entergalactic",14,1.57142857142857
"Tame Impala","Lonerism",8,2.75
"Justin Timberlake","Mirrors",2,11
"Drake","The Best In The World Pack",2,11
"Daniel Caesar","Freudian",4,5.25
"Trippie Redd","LIFE'S A TRIP",3,7
"BabyTron","Megatron",5,4.2
"Lil Mosey","Northsbest",4,5.25
"American Authors","Oh, What A Life",2,10.5
"Swedish House Mafia","Paradise Again",17,1.23529411764706
"Led Zeppelin","Physical Graffiti",2,10.5
"Vince Staples","RAMONA PARK BROKE MY HEART",4,5.25
"Jay Rock","Redemption",5,4.2
"Kid Cudi","Speedin' Bullet 2 Heaven",19,1.10526315789474
"Sia","This Is Acting",2,10.5
"Pink Floyd","Wish You Were Here",2,10.5
"Brent Faiyaz","A.M. Paradox",3,6.66666666666667
"The Chainsmokers","Memories...Do Not Open",2,10
"Tame Impala","The Slow Rush",9,2.22222222222222
"Van Halen","1984",3,6.33333333333333
"Daft Punk","2010s Hits",3,6.33333333333333
"Gunna","Drip or Drown 2",6,3.16666666666667
"Benny Benassi","Electroman",2,9.5
"Justin Timberlake","Feel Good Friday",2,9.5
"iann dior","I'm Gone",3,6.33333333333333
"Carly Rae Jepsen","Kiss",2,9.5
"Traffic","The Low Spark Of High Heeled Boys",7,2.71428571428571
"Gunna","WUNNA",6,3.16666666666667
"Traffic","20th Century Masters: The Millennium Collection: The Best Of Traffic",10,1.8
"Future","DS2",4,4.5
"Drake","Dark Lane Demo Tapes",5,3.6
"Lil Uzi Vert","Eternal Atake",12,1.5
"Alan Walker","Faded",3,6
"Joe Cocker","Live At Woodstock",11,1.63636363636364
"Sainte","Local Mvp",4,4.5
"Lorde","Melodrama",2,9
"Lil Dicky","Professional Rapper",2,9
"Endor","Pump It Up",2,9
"Charlie Puth","Voicenotes",3,6
"Dr. Dre","2001",2,8.5
"Jethro Tull","Benefit",10,1.7
"Ludacris","Chicken - N - Beer",17,1
"Chief Keef","Finally Rich",2,8.5
"Ace Frehley","Kiss: Ace Frehley",9,1.88888888888889
"Looking Glass","Looking Glass",8,2.125
"Lil Nas X","MONTERO",13,1.30769230769231
"DJ Khaled","Major Key",14,1.21428571428571
"Tee Grizzley","My Moment",3,5.66666666666667
"Kishore Kumar","Padosan (Original Motion Picture Soundtrack)",10,1.7
"The Who","Who's Next",3,5.66666666666667
"Bastille","Bad Blood",2,8
"Blind Faith","Blind Faith",6,2.66666666666667
"Logic","Confessions of a Dangerous Mind",8,2
"Creedence Clearwater Revival","Green River",2,8
"Jethro Tull","Heavy Horses",11,1.45454545454545
"Janis Joplin","Janis Joplin: The Woodstock Experience",10,1.6
"Pop Smoke","Meet The Woo",2,8
"Logic","No Pressure",15,1.06666666666667
"David Guetta","Nothing but the Beat 2.0",3,5.33333333333333
"Nicki Minaj","Pink Friday ... Roman Reloaded",2,8
"The Outfield","Super Hits",3,5.33333333333333
"Drake","What A Time To Be Alive",5,3.2
"Wings","Wings Greatest",2,8
"Wale","Wow... That's Crazy",2,8
"Logic","YS Collection Vol. 1",4,4
"The Weeknd","House Of Balloons",5,3
"Marvin Gaye","I Want You",2,7.5
"Young Thug","Punk",5,3
"Taylor Swift","Red",3,5
"Aretha Franklin","Soul Queen",14,1.07142857142857
"Outkast","Stankonia",2,7.5
"The Who","The Who Sings My Generation",11,1.36363636363636
"Tom Petty and the Heartbreakers","Tom Petty & The Heartbreakers",10,1.5
"Arctic Monkeys","Whatever People Say I Am, That's What I'm Not",2,7.5
"Aretha Franklin","A Brand New Me: Aretha Franklin (with The Royal Philharmonic Orchestra)",14,1
"Bryson Tiller","A Different Christmas",7,2
"midwxst","BACK IN ACTION 2.0",6,2.33333333333333
"DaBaby","Baby On Baby",2,7
"Mac Miller","Circles",3,4.66666666666667
"Usher","Confessions",3,4.66666666666667
"Electric Light Orchestra","Discovery",3,4.66666666666667
"Duke Ellington","Ellington at Newport 1956 (Complete)",13,1.07692307692308
"Justin Timberlake","FutureSex/LoveSounds",3,4.66666666666667
"Mac Miller","GO:OD AM",5,2.8
"Future","I NEVER LIKED YOU",6,2.33333333333333
"Jefferson Airplane","Jefferson Airplane: The Woodstock Experience",12,1.16666666666667
"Kanye West","Kanye West Presents Good Music Cruel Summer",11,1.27272727272727
"Kid Cudi","KiD CuDi presents SATELLITE FLIGHT: The journey to Mother Moon",10,1.4
"Brent Faiyaz","Lost",6,2.33333333333333
"Aretha Franklin","Oh Me, Oh My: Aretha Live In Philly 1972",14,1
"Sly & The Family Stone","Sly & The Family Stone: The Woodstock Experience",9,1.55555555555556
"Lil Baby","Street Gossip",2,7
"Post Malone","Twelve Carat Toothache",7,2
"French Montana","Unforgettable",2,7
"Ski Mask The Slump God","You Will Regret",2,7
"Metro Boomin","Blue Pill",2,6.5
"Camila Cabello","Camila",3,4.33333333333333
"Lata Mangeshkar","Diamonds Forever - Lata Mangeshkar",3,4.33333333333333
"Jaden","ERYS",2,6.5
"Dada Life","Feed the Dada",2,6.5
"Johnny Winter","Johnny Winter: The Woodstock Experience",7,1.85714285714286
"Ms. Lauryn Hill","MTV Unplugged No. 2.0",2,6.5
"Larry June","Mr. Midnight",5,2.6
"The Band","Music From Big Pink",7,1.85714285714286
"Fleetwood Mac","The Dance",8,1.625
"X Ambassadors","VHS",2,6.5
"Laffey","A Day At A Time",9,1.33333333333333
"Johannes Bornlof","As The Years Go By",3,4
"Thouxanbanfauni","CLAIRVOYANCE",2,6
"Pharrell Williams","G I R L",2,6
"Tame Impala","InnerSpeaker",7,1.71428571428571
"Elior","Lazy Sunday",12,1
"R. D. Burman","MasterWorks - Asha Bhosle",12,1
"GROUPLOVE","Never Trust a Happy Song",4,3
"Radiohead","OK Computer",3,4
"Michael Jackson","Off the Wall",2,6
"Rebour","Piano & Chill",3,4
"Logic","Vinyl Days",7,1.71428571428571
"Dominic Fike","What Could Possibly Go Wrong",3,4
"dryhope","3 Am. Study Session",9,1.22222222222222
"Childish Gambino","3.15.20",5,2.2
"YG","4REAL 4REAL",4,2.75
"Bruno Mars","An Evening With Silk Sonic",3,3.66666666666667
"Outkast","Aquemini",2,5.5
"DaBaby","BLAME IT ON BABY",7,1.57142857142857
"Baby Smoove","Baby",2,5.5
"Daniel Caesar","CASE STUDY 01",2,5.5
"Polo G","Die A Legend",4,2.75
"Thin Lizzy","Fighting",8,1.375
"Ever So Blue","Fragment",3,3.66666666666667
"Tim Hardin","Hang On To A Dream: The Verve Recordings",4,2.75
"Big Sean","I Decided.",3,3.66666666666667
"Pop Smoke","Meet The Woo 2",4,2.75
"Future","Monster",2,5.5
"Aretha Franklin","So Damn Happy",11,1
"Katy Perry","Teenage Dream: The Complete Confection",3,3.66666666666667
"JID","The Never Story",3,3.66666666666667
"Aretha Franklin","This Christmas Aretha",11,1
"Jewelz","Unless We Forget",2,5.5
"Santana","Woodstock Saturday August 16, 1969",7,1.57142857142857
"Smino","blkswn",2,5.5
"Aretha Franklin","Aretha Franklin Sings The Great Diva Classics",10,1
"Big Time Rush","BTR",4,2.5
"The Paul Butterfield Blues Band","Complete Albums 1965-1980",5,2
"Lata Mangeshkar","Dilwale Dulhania Le Jayenge (Original Motion Picture Soundtrack)",3,3.33333333333333
"6LACK","East Atlanta Love Letter",3,3.33333333333333
"Journey","Infinity",8,1.25
"Felly","Mariposa",3,3.33333333333333
"Taylor Swift","Midnights",8,1.25
"Outasight","Nights Like These",3,3.33333333333333
"Lil Yachty","Nuthin' 2 Prove",3,3.33333333333333
"Rex Orange County","Pony",3,3.33333333333333
"Kodak Black","Sniper Gang Presents Syko Bob & Snapkatt: Nightmare Babies",2,5
"Giveon","TAKE TIME",5,2
"The 1975","The 1975",4,2.5
"Cordae","The Lost Boy",2,5
"Fleetwood Mac","The Pious Bird of Good Omen",9,1.11111111111111
"NF","The Search",4,2.5
"Tom Petty","Wildflowers",8,1.25
"Elliot Ziegler","Zephyrine",2,5
"midwxst","better luck next time.",9,1.11111111111111
"E I S U","2 Am. Study Session",8,1.125
"The Score","ATLAS",3,3
"Rhiannon Bannenberg","Ambrosia (Official Soundtrack)",2,4.5
