"Song","Artist","Plays","First Listen","ID"
"Better Now","Post Malone",302,2018-06-27,"7dt6x5M1jzdTEt8oCbisTK"
"Ransom (with Juice WRLD) - Remix","Lil Tecca",302,2019-08-29,"2WsuSYJNXGKXVYkHPnq2yp"
"Trap (feat. Lil Baby)","SAINt JHN",301,2020-02-03,"2Y8hY4rRRQQjdaZkkwzpd9"
"Trespass","Rich Brian",301,2018-02-02,"3oYIm3GyXki3zEX6It90Wi"
"Can I Call You Tonight?","Dayglow",300,2020-07-28,"64lsIF5pw0sJY0gV5kz0RN"
"Show Me What I'm Looking For","Carolina Liar",300,2020-05-09,"2h8iXIwEdEnQywhFC4q5e5"
"Kids","MGMT",298,2020-06-01,"1jJci4qxiYcOHhQR247rEU"
"Television / So Far So Good","Rex Orange County",298,2019-06-25,"5OUTFH5acycdnf8OVo21Gv"
"Wake Me Up","Avicii",298,2018-05-10,"4h8VwCb1MTGoLKueQ1WgbD"
"Money In The Grave (Drake ft. Rick Ross)","Drake",296,2019-06-16,"5ry2OE6R2zPQFDO85XkgRb"
"Pursuit Of Happiness (Nightmare)","Kid Cudi",296,2019-05-19,"5iSEsR6NKjlC9SrIJkyL3k"
"SUNDAY NIGHT","Jack Harlow",292,2019-09-20,"01DGSKcBCSQ3pRJ4q4Ekmj"
"Demons","Imagine Dragons",291,2019-06-24,"3LlAyCYU26dvFZBDUIMb7a"
"The Garden","Briston Maroney",291,2021-03-12,"1VsAakakwbHaPiL6hXSPZ5"
"A Milli","Lil Wayne",289,2019-05-19,"6ScJMrlpiLfZUGtWp4QIVt"
"Programs","Mac Miller",289,2019-04-17,"1883mCuSqnfnrWoq8i3myH"
"Chaos","Rich Brian",288,2017-11-30,"2CvcVMkyBhXHD9d0QIpw4X"
"PICK IT UP (feat. A$AP Rocky)","Famous Dex",287,2018-12-25,"0dSIrRkA4PadGll16TgbnV"
"City Is Ours","Big Time Rush",284,2018-07-22,"2UI9qShtz4xwB4BvzVAAiM"
"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",284,2018-10-29,"0RiRZpuVRbi7oqRdSMwhQY"
"Viva La Vida","Coldplay",283,2018-01-22,"1mea3bSkSGXuIRvnydlB5b"
"44 More","Logic",282,2018-02-23,"3e7Y6sfFlIdBMJhX7wpqVO"
"Beautiful Now","Zedd",282,2019-08-31,"2ISSQPb9LHHiV6ng2NXosL"
"Coffee (feat. Marc E. Bassy)","Quinn XCII",281,2020-06-17,"4CxmynXhw78QefruycvxG8"
"Dat $tick","Rich Brian",281,2017-12-06,"4bdJHQp90ymjEIkkYhcENB"
"Ballin","Logic",279,2019-05-20,"17N5FdRwJuv3UXQ7MHnbhF"
"Empire State Of Mind","JAY-Z",279,2020-06-12,"2igwFfvr1OAGX9SKDCPBwO"
"Secrets","OneRepublic",279,2018-12-07,"1NhPKVLsHhFUHIOZ32QnS2"
"HEAVY HITTER","Jack Harlow",276,2019-09-24,"7zJld1LpGmLsPt8IGOc0KL"
"Remind You","FRENSHIP",276,2021-06-04,"1i6gUYGzJF7XMukcwSwJ7k"
"My Life","NF",274,2019-02-17,"1kO0nC4VnEjMBeJZI7g2T2"
"i-drip-or-is","Jaden",273,2019-07-05,"7w7SyRdoQRGiskBPJBhjS4"
"DNA.","Kendrick Lamar",270,2017-09-12,"6HZILIRieu8S0iqY8kIKhj"
"Kilby Girl","The Backseat Lovers",270,2021-04-20,"1170VohRSx6GwE6QDCHPPH"
"Hands","Mac Miller",267,2020-01-17,"6CrnvqCxBKVWahSiQwOesM"
"Saved","Khalid",267,2017-12-11,"248OFOZef6ShXv6DGgbnxU"
"Walk Man","Tiny Meat Gang",267,2019-06-07,"7bDaswZlpaAe8rPQOWHySn"
