"Artist","Plays","Songs","First Listen","Plays Per Song"
"RY X",3,1,2021-01-27,3
"Rainbow Kitten Surprise",3,2,2021-02-07,1.5
"Robinson",3,1,2021-02-11,3
"Rupert Gregson-Williams",3,1,2021-04-05,3
"SRTW",3,2,2020-12-19,1.5
"Sante Les Amis",3,1,2022-04-11,3
"Saweetie",3,2,2019-09-15,1.5
"Senor Wooly",3,3,2017-10-26,1
"Sir Sly",3,1,2022-04-12,3
"Souly Had",3,3,2021-01-27,1
"Speelburg",3,1,2022-04-12,3
"StarBoi3",3,1,2021-05-05,3
"YG",3,3,2018-07-17,1
"redveil",3,3,2022-04-14,1
"will.i.am",3,3,2021-03-20,1
"*NSYNC",2,1,2019-06-14,2
"A Boogie Wit da Hoodie",2,2,2019-03-03,1
"AREA21",2,1,2022-04-14,2
"Aidan Bissett",2,1,2021-09-17,2
"Alabama",2,1,2021-06-21,2
"Ali Gatie",2,2,2019-06-15,1
"Alina Baraz",2,1,2019-04-01,2
"Amy Winehouse",2,1,2022-12-08,2
"BAYNK",2,1,2021-12-29,2
"Bear's Den",2,1,2021-01-27,2
"Beck",2,1,2022-04-24,2
"Billy Boyd",2,1,2021-04-09,2
"Bing Crosby",2,2,2020-11-28,1
"Blueface",2,2,2019-08-01,1
