"Artist","Plays","Songs","First Listen","Plays Per Song"
"Rainbow",13,1,"2020-08-04",13
"Sam Smith",13,7,"2017-11-12",1.85714285714286
"The Foundations",13,1,"2019-01-15",13
"Thouxanbanfauni",13,3,"2021-04-30",4.33333333333333
"Tomasz Kraal",13,3,"2019-09-26",4.33333333333333
"X Ambassadors",13,2,"2021-03-10",6.5
"Y2K",13,1,"2019-08-23",13
"Alexandra Streliski",12,3,"2019-09-26",4
"Big Time Rush",12,6,"2021-02-11",2
"Bombs Away",12,1,"2016-04-21",12
"Canned Heat",12,5,"2020-10-01",2.4
"Central Cee",12,3,"2021-09-19",4
"DRAM",12,2,"2019-12-21",6
"Dominique Cerejo",12,1,"2020-09-08",12
"Grateful Dead",12,9,"2020-10-04",1.33333333333333
"James Arthur",12,2,"2017-10-28",6
"James Vasanthan",12,3,"2021-10-03",4
"Karin Borg",12,3,"2019-09-26",4
"Liam Payne",12,2,"2017-11-28",6
"Luh Kel",12,1,"2019-10-01",12
"M.I.A.",12,1,"2016-04-30",12
"Magic System",12,1,"2020-08-24",12
"Peking Duk",12,2,"2016-04-24",6
"Rejjie Snow",12,6,"2020-10-31",2
"Rich Brian",12,2,"2017-06-19",6
"T-Pain",12,7,"2019-03-23",1.71428571428571
"Waka Flocka Flame",12,2,"2017-11-07",6
"Adam Fincher",11,2,"2019-09-26",5.5
"Brenda Lee",11,3,"2021-11-01",3.66666666666667
"Cardi B",11,4,"2017-09-08",2.75
"Cl4pers",11,2,"2021-11-14",5.5
"Del Water Gap",11,1,"2021-07-29",11
"Ever So Blue",11,3,"2019-09-26",3.66666666666667
"Felly",11,4,"2020-10-31",2.75
"Jay Sean",11,1,"2019-04-27",11
"Jewelz",11,2,"2016-04-24",5.5
"Jhove",11,11,"2021-12-09",1
"Joan Baez",11,11,"2020-09-26",1
"Joep Beving",11,3,"2019-09-26",3.66666666666667
"Mick Jenkins",11,8,"2020-08-13",1.375
"Outasight",11,4,"2016-04-20",2.75
"Piano Novel",11,3,"2019-09-26",3.66666666666667
"Rahat Fateh Ali Khan",11,1,"2019-07-11",11
"Rascal Flatts",11,2,"2018-10-10",5.5
"San Holo",11,4,"2018-01-08",2.75
"Sigala",11,1,"2021-02-15",11
"TLC",11,1,"2020-01-24",11
"The Vamps",11,3,"2021-10-11",3.66666666666667
"Earl Sweatshirt",10,4,"2021-04-30",2.5
"Hardwell",10,5,"2016-04-21",2
"JAWNY",10,1,"2022-05-21",10
"Joji",10,5,"2019-01-23",2
"Ludwig van Beethoven",10,8,"2017-04-10",1.25
"Oneke",10,3,"2019-09-26",3.33333333333333
"P. Susheela",10,6,"2021-08-30",1.66666666666667
"Richie Havens",10,7,"2020-09-23",1.42857142857143
"Satyr",10,7,"2020-11-27",1.42857142857143
"Still Woozy",10,4,"2020-11-22",2.5
"Suraj Jagan",10,1,"2019-07-10",10
"Ten Years After",10,5,"2020-09-24",2
"The Paul Butterfield Blues Band",10,5,"2020-09-23",2
"The Turtles",10,1,"2018-07-24",10
"Warren G",10,1,"2022-02-14",10
"Wun Two",10,7,"2020-10-30",1.42857142857143
"Yes",10,7,"2020-03-16",1.42857142857143
"Young Nudy",10,5,"2019-12-21",2
"50 Cent",9,5,"2021-02-07",1.8
"A.K.",9,1,"2018-12-18",9
"Aaron Lansing",9,2,"2019-09-26",4.5
"Andy Mineo",9,1,"2019-05-05",9
"Glimlip",9,6,"2020-11-27",1.5
"Gwen Stefani",9,1,"2018-06-19",9
"Ira Wolf",9,1,"2016-04-24",9
"John Lennon",9,2,"2017-10-03",4.5
"John Sebastian",9,5,"2020-09-27",1.8
"Joni Mitchell",9,6,"2020-07-12",1.5
"Key Glock",9,4,"2021-09-14",2.25
"Kodhanda Raman",9,5,"2021-02-03",1.8
"Kylian Rebour",9,2,"2019-09-26",4.5
"Lambert",9,2,"2019-09-26",4.5
"Melanie",9,7,"2020-09-25",1.28571428571429
"Melanie Adler",9,2,"2019-09-26",4.5
"Moe",9,1,"2020-04-20",9
"Moux",9,2,"2019-09-26",4.5
"Novo Talos",9,2,"2019-09-26",4.5
"Otto A. Totland",9,2,"2019-09-26",4.5
"PnB Rock",9,6,"2019-03-25",1.5
"Poco",9,1,"2019-01-25",9
